Questions,Answer
What is baclofen? Baclofen,"''Baclofen is a muscle relaxer and an antispasmodic agent.''Baclofen is used to treat muscle pain, spasms, and stiffness in people with multiple sclerosis or spinal cord injury or disease.''Baclofen is given intrathecally (directly into the spinal cord) or orally (by mouth).''"
Important Information Baclofen,"''Do not use baclofen at a time when you need muscle tone for safe balance and movement during certain activities. Do not drive or operate heavy machinery until you know how this medicine affects you.''Do not stop using baclofen suddenly, or you could have unpleasant withdrawal symptoms.''"
Before taking this medicine Baclofen,"''You should not use baclofen if you are allergic to it.''To make sure this medicine is safe for you, tell your doctor if you have ever had:''mental illness or psychosis;a nervous system disorder;epilepsy or other seizure disorder;a stroke or blood clot; orkidney disease.''Using baclofen may increase your risk of developing an ovarian cyst. Talk with your doctor about your specific risk.''Tell your doctor if you are pregnant or breastfeeding.''If you take baclofen during pregnancy, your newborn baby may have withdrawal symptoms such as tremors, rigid muscles, or a seizure. Follow your doctor's instructions about tapering your dose as your due date approaches.''If you take baclofen while breastfeeding, withdrawal symptoms may occur in the nursing baby. Ask your doctor if it is safe for you to breastfeed while taking this medicine.''Baclofen is not approved for use by anyone younger than 12 years old.''"
How should I take baclofen? Baclofen,"''Take baclofen exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.''Shake the oral suspension (liquid) before you measure a dose. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).''Call your doctor if your muscle symptoms do not improve, or if they get worse.''You should not stop using baclofen suddenly or you could have serious or fatal withdrawal symptoms. Follow your doctor's instructions about tapering your dose.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''"
What happens if I overdose? Baclofen,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''Overdose symptoms may include muscle weakness, vomiting, severe dizziness or drowsiness, dilated or pinpoint pupils, shallow breathing, seizure, or loss of consciousness.''"
What should I avoid while taking baclofen? Baclofen,"''Do not use baclofen at a time when you need muscle tone for safe balance and movement during certain activities. In some situations, it may be dangerous for you to have reduced muscle tone.''Drinking alcohol with baclofen can cause side effects.''Avoid driving or hazardous activity until you know how this medicine will affect you. Your reactions could be impaired.''"
Baclofen side effects,"''Get emergency medical help if you have signs of an allergic reaction to baclofen: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''severe drowsiness, weak or shallow breathing;confusion, hallucinations;itching, tingling, or twitching in your hands, arms, feet, or legs;fever; ora seizure.''Common baclofen side effects may include:''drowsiness, dizziness, weakness, tiredness;headache;sleep problems (insomnia);nausea, constipation; orurinating more often than usual.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is Bactrim?,"''Bactrim contains a combination of sulfamethoxazole and trimethoprim. Sulfamethoxazole and trimethoprim are are both antibiotics that treat different types of infection caused by bacteria.''Bactrim is used to treat ear infections, urinary tract infections, bronchitis, traveler's diarrhea, shigellosis, and Pneumocystis jiroveci pneumonia.''Bactrim may also be used for purposes not listed in this medication guide.''"
Important Information Bactrim,"''You should not use Bactrim if you have severe liver disease, kidney disease that is not being monitored, anemia caused by folic acid deficiency, if you take dofetilide, or if you have had low platelets caused by using trimethoprim or a sulfa drug.''You should not take sulfamethoxazole and trimethoprim if you are pregnant or breastfeeding.''"
Before taking this medicine Bactrim,"''You should not use Bactrim if you are allergic to sulfamethoxazole or trimethoprim, or if you have:''severe liver disease;kidney disease that is not being treated or monitored;anemia (low red blood cells) caused by folic acid deficiency;a history of low blood platelets after taking trimethoprim or any sulfa drug; orif you take dofetilide (Tikosyn).''Do not use Bactrim if you are pregnant. This medicine could harm the unborn baby or cause birth defects. Use effective birth control, and tell your doctor if you become pregnant.''Do not breastfeed while using this medicine.''This medicine should not be given to a child younger than 2 months old.''To make sure Bactrim is safe for you, tell your doctor if you have:''kidney or liver disease;a folate (folic acid) deficiency;asthma or severe allergies;a thyroid disorder;HIV or AIDS;malnourishment;alcoholism;high levels of potassium in your blood;porphyria, or glucose-6-phosphate dehydrogenase (G6PD) deficiency; orif you use a blood thinner (such as warfarin) and you have routine ""INR"" or prothrombin time tests.''"
How should I take Bactrim?,"''Take Bactrim exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets.''Drink plenty of fluids to prevent kidney stones while you are using this medicine.''Sulfamethoxazole and trimethoprim doses are based on weight in children. Use only the recommended dose when giving this medicine to a child.''Use this medicine for the full prescribed length of time, even if your symptoms quickly improve. Skipping doses can increase your risk of infection that is resistant to medication. This medicine will not treat a viral infection such as the flu or a common cold.''You may need frequent medical tests.''This medicine can affect the results of certain medical tests. Tell any doctor who treats you that you are using Bactrim.''Store at room temperature away from moisture, heat, and light.''''What happens if I miss a dose?''Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time.''"
What happens if I overdose? Bactrim,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''Overdose symptoms may include loss of appetite, vomiting, fever, blood in your urine, yellowing of your skin or eyes, confusion, or loss of consciousness.''"
What should I avoid while using Bactrim?,"''Antibiotic medicines can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor before using anti-diarrhea medicine.''Bactrim could make you sunburn more easily. Avoid sunlight or tanning beds. Wear protective clothing and use sunscreen (SPF 30 or higher) when you are outdoors.''"
