Questions,Answer
What is calcitriol? Calcitriol,"''Calcitriol is a form of vitamin D3. Vitamin D helps your body absorb calcium from the stomach.''Calcitriol is used to treat hyperparathyroidism (overactive parathyroid glands) and metabolic bone disease in people who have chronic kidney failure and are not receiving dialysis.''Calcitriol is also used to treat calcium deficiency in people with hypoparathyroidism (underactive parathyroid glands) caused by surgery, disease, or other conditions.''Calcitriol is also used to treat calcium deficiency (hypocalcemia) and metabolic bone disease in people who are receiving dialysis.''Calcitriol may also be used for purposes not listed in this medication guide.''''"
Important Information Calcitriol,"''You should not use  calcitriol if you have high levels of calcium or vitamin D in your blood, or if you have ever had an allergic reaction to calcitriol or other forms of vitamin D.''''"
Before taking this medicine Calcitriol,"''You should not use calcitriol if:''you have high levels of calcium or vitamin D in your blood; oryou have had an allergic reaction to calcitriol or other forms of vitamin D.''Tell your doctor about all your medical conditions or allergies.''It is not known whether this medicine will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant.''You should not breastfeed while using calcitriol.''Do not give this medicine to a child without medical advice.''''How should I use calcitriol?''Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.''Calcitriol oral is taken by mouth.''Measure oral liquid carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).''Calcitriol injection is given as an infusion into a vein. A healthcare provider will give your first dose and may teach you how to properly use the medication by yourself.''Read and carefully follow any Instructions for Use provided with your medicine. Prepare an injection only when you are ready to give it. Do not use if the medicine has changed colors or has particles in it. Call your pharmacist for new medicine.''You will need frequent medical tests.''Drink plenty of fluids unless your doctor has told you to restrict your fluid intake.''You may need to follow a special diet while using calcitriol. Follow all instructions of your doctor or dietitian. Learn about the foods to eat or avoid to help control your condition.''Call your doctor if you are sick with vomiting or diarrhea, or if you are sweating more than usual. You can easily become dehydrated while taking calcitriol. This can lead to very low blood pressure, a serious electrolyte imbalance, or kidney failure.''If you need major surgery or will be on long-term bed rest, your dose or testing needs may change. Follow your doctor's instructions.''Store at room temperature away from moisture, heat, and light.''''What happens if I miss a dose?''Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time.''''"
What happens if I overdose? Calcitriol,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''Early signs of overdose may include headache, weakness, drowsiness, dry mouth, metallic taste, nausea, vomiting, constipation, stomach pain, loss of appetite, muscle pain, or bone pain.''Late signs of overdose may include increased thirst, itching, increased urination (especially at night), severe stomach pain spreading to your back, irregular heartbeats, loss of appetite, weight loss, feeling hot, decreased interest in sex, or being unable to urinate.''''"
What should I avoid while using calcitriol? Calcitriol,"''Do not take other vitamin or mineral supplements unless your doctor has told you to.''Ask your doctor before using an antacid or laxative, especially if you are on dialysis. Taking antacids or laxatives that contain magnesium may increase your blood levels of magnesium, which could affect your heart or blood pressure.''''"
Calcitriol side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Stop using calcitriol and call your doctor at once if you have:''dehydration symptoms--feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin;high calcium levels--nausea, vomiting, constipation, increased thirst or urination, muscle weakness, bone pain, confusion, lack of energy, or tired feeling; orlow calcium level--muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes).''Calcitriol can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using  calcitriol.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is calcium carbonate? Calcium carbonate,"''Calcium is a mineral that is found naturally in foods. Calcium is necessary for many normal functions of the body, especially bone formation and maintenance.''Calcium carbonate is used to prevent or to treat a calcium deficiency.''There are many brands and forms of calcium carbonate available. Not all brands are listed on this leaflet.''Calcium carbonate may also be used for purposes not listed in this medication guide.''''"
Important Information Calcium carbonate,"''Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.''''"
Before taking this medicine Calcium carbonate,''Ask a doctor or pharmacist if it is safe for you to take  calcium carbonate if you have ever had:''kidney disease;kidney stones;cancer;a parathyroid gland disorder; orhigh levels of calcium in your blood.''Ask a doctor before using calcium carbonate if you are pregnant or breast-feeding. Your dose needs may be different during pregnancy or while you are nursing.''''
How should I take calcium carbonate? Calcium carbonate,"''Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.''Check the label of your calcium carbonate product to see if it should be taken with or without food.''Swallow the calcium carbonate regular tablet with a full glass of water.''The chewable tablet should be chewed before you swallow it.''Shake the oral suspension (liquid) well just before you measure a dose. Measure liquid medicine with the dosing syringe provided, or with a special dose-measuring spoon or medicine cup. If you do not have a dose-measuring device, ask your pharmacist for one.''Use the calcium carbonate powder as directed. Allow the powder to dissolve completely, then consume the mixture.''Calcium carbonate may be only part of a complete program of treatment that also includes dietary changes. Learn about the foods that contain calcium.''Your calcium carbonate dose may need to be adjusted as you make changes to your diet. Follow your doctor's instructions very closely.''Store at room temperature away from moisture and heat. Do not freeze.''''What happens if I miss a dose?''Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.''''"
