Questions,Answer
What is  Decadron?,"''There are many brands and forms of dexamethasone available. Not all brands are listed on this leaflet.''Decadron is a steroid that prevents the release of substances in the body that cause inflammation.''Decadron is used to treat many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders.''Decadron may also be used for purposes not listed in this medication guide.''''"
Important Information Decadron,"''You should not use  Decadron if you have a fungal infection anywhere in your body.''Tell your doctor about all your medical conditions, and all the medicines you are using. There are many other diseases that can be affected by steroid use, and many other medicines that can interact with steroids.''''"
Before taking this medicine Decadron,"''You should not use Decadron if you are allergic to it, or if you have:''a fungal infection anywhere in your body.''Tell your doctor if you have ever had:''liver disease (such as cirrhosis);kidney disease;a thyroid disorder;malaria;tuberculosis;osteoporosis;a muscle disorder such as myasthenia gravis;diabetes (steroid medicine may increase glucose levels in your blood or urine);glaucoma or cataracts;herpes infection of the eyes;stomach ulcers, ulcerative colitis, diverticulitis, inflammatory bowel disease;depression or mental illness;congestive heart failure; orhigh blood pressure.''Steroid medication affects your immune system. You may get infections more easily. Steroids can also worsen or reactivate an infection you've already had. Tell your doctor about any illness or infection you have had within the past several weeks.''It is not known whether this medicine will harm an unborn baby. Tell your doctor if you are pregnant.''You should not breastfeed while using Decadron.''''"
How should I take  Decadron?,"''Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.''Your dose needs may change due to surgery, illness, stress, or a medical emergency. Tell your doctor about any such situation that affects you.''Decadron can affect the results of certain medical tests. Tell any doctor who treats you that you are using Decadron.''Do not stop using Decadron suddenly, or you could have unpleasant withdrawal symptoms. Ask your doctor how to safely stop using this medicine.''In case of emergency, wear or carry medical identification to let others know you use Decadron.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Call your doctor for instructions if you miss a dose of  Decadron.''''"
What happens if I overdose? Decadron,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''An overdose of dexamethasone is not expected to produce life threatening symptoms. Long term use of high doses can lead to thinning skin, easy bruising, changes in body fat (especially in your face, neck, back, and waist), increased acne or facial hair, menstrual problems, impotence, or loss of interest in sex.''''"
What should I avoid while taking  Decadron?,"''Avoid being near people who are sick or have infections. Call your doctor for preventive treatment if you are exposed to chickenpox or measles. These conditions can be serious or even fatal in people who are using steroid medicine.''Avoid drinking alcohol while you are taking Decadron.''Do not receive a ""live"" vaccine while using Decadron. The vaccine may not work as well during this time, and may not fully protect you from disease. Live vaccines include measles, mumps, rubella (MMR), polio, rotavirus, typhoid, yellow fever, varicella (chickenpox), and zoster (shingles).''''"
 Decadron side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''muscle tightness, weakness, or limp feeling;blurred vision, tunnel vision, eye pain, or seeing halos around lights;shortness of breath (even with mild exertion), swelling, rapid weight gain;severe depression, unusual thoughts or behavior;a seizure (convulsions);bloody or tarry stools, coughing up blood;fast or slow heart rate, weak pulse;pancreatitis--severe pain in your upper stomach spreading to your back, nausea and vomiting;low potassium level--leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling; orincreased blood pressure--severe headache, blurred vision, pounding in your neck or ears, anxiety, nosebleed.''Decadron can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using  Decadron.''Common side effects may include:''fluid retention (swelling in your hands or ankles);increased appetite;mood changes, trouble sleeping;skin rash, bruising or discoloration;acne, increased sweating, increased hair growth;headache, dizziness;nausea, vomiting, upset stomach;changes in your menstrual periods; orchanges in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist).''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect  Decadron?,"''Sometimes it is not safe to use certain medications at the same time. Some drugs can affect your blood levels of other drugs you take, which may increase side effects or make the medications less effective.''Tell your doctor about all your current medicines. Many drugs can affect Decadron, especially:''an antibiotic or antifungal medicine;birth control pills or hormone replacement therapy;insulin or diabetes medications you take by mouth;medicine to treat dementia or Parkinson's disease;a blood thinner--warfarin, Coumadin, Jantoven; orNSAIDs (nonsteroidal anti-inflammatory drugs)--aspirin, ibuprofen (Advil, Motrin), naproxen (Aleve), celecoxib, diclofenac, indomethacin, meloxicam, and others.''This list is not complete and many other drugs may affect Decadron. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here.''''"
What is Demerol?,"''Demerol (meperidine) is an opioid pain medication. An opioid is sometimes called a narcotic.''Demerol is a strong prescription pain medicine that is used to manage the relief short-term pain, when other pain treatments such as non-opioid pain medicines do not treat your pain well enough or you cannot tolerate them.''Careless use of Demerol can put you at risk of overdose and death. Even if you take your dose correctly as prescribed you are at risk for opioid addiction, abuse, and misuse that can lead to death.''"
Important Information Demerol,"''You should not use Demerol if you have severe asthma or breathing problems.''Do not use Demerol if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.''Demerol can slow or stop your breathing, and may be habit-forming. MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription.''Using this medicine during pregnancy may cause life-threatening withdrawal symptoms in the newborn.''Fatal side effects can occur if you use Demerol with alcohol, or with other drugs that cause drowsiness or slow your breathing.''Before using this medicine''You should not use Demerol if you are allergic to meperidine, or if you have:''severe asthma or breathing problems; ora blockage in your stomach or intestines.''Do not use Demerol if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others.''To make sure Demerol is safe for you, tell your doctor if you have ever had:''a head injury, brain tumor, or seizures;breathing problems, sleep apnea;drug or alcohol addiction, or mental illness;a blockage in your stomach or intestines;urination problems;liver or kidney disease;problems with your gallbladder, adrenal gland, or thyroid;sickle cell anemia; orabnormal curvature of the spine that affects breathing.''If you use Demerol while you are pregnant, your baby could become dependent on the drug. This can cause life-threatening withdrawal symptoms in the baby after it is born. Babies born dependent on opioids may need medical treatment for several weeks.''Do not breastfeed while using Demerol. Meperidine can pass into breast milk and cause drowsiness, breathing problems, or death in a nursing baby.''How should I use Demerol?''Take Demerol exactly as prescribed by your doctor. Follow the directions on your prescription label and read all medication guides. Never use meperidine in larger amounts, or for longer than prescribed. Tell your doctor if you feel an increased urge to take more of this medicine.''Demerol may be habit-forming, even at regular doses. Never share this medicine with another person, especially someone with a history of drug abuse or addiction. MISUSE OF DEMEROL CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription. Selling or giving away this medicine is against the law.''Demerol tablets are taken by mouth.''Demerol injection is given as an infusion into a vein, or injected into a muscle or under the skin. A healthcare provider will give you this injection.''Do not stop using this medicine suddenly after long-term use, or you could have unpleasant withdrawal symptoms. Ask your doctor how to avoid withdrawal symptoms when you stop using this medicine.''Never crush or break a Demerol tablet to inhale the powder or mix it into a liquid to inject the drug into your vein. This practice has resulted in death with the misuse of prescription drugs.''Store at room temperature away from moisture and heat.''Keep track of the amount of medicine used from each new bottle. Meperidine is a drug of abuse and you should be aware if anyone is using your medicine improperly or without a prescription.''Do not keep leftover Demerol tablets. Just one dose can cause death in someone using this medicine accidentally or improperly. Ask your pharmacist where to locate a drug take-back disposal program. If there is no take-back program, flush any unused tablets down the toilet. Disposal of medicines by flushing is recommended to reduce the danger of accidental overdose causing death. This advice applies to a very small number of medicines only. The FDA, working with the manufacturer, has determined this method to be the most appropriate route of disposal and presents the least risk to human safety.''"
Demerol Dosing Information,"''Usual Adult Dose for Pain:''Oral:50 to 150 mg orally every 3 to 4 hours as neededMaximum dose: 600 mg per dayParenteral:50 to 150 mg IM or subcutaneously every 3 to 4 hours as needed; IM administration is preferred when repeated dose are required-May be administered IV, however, lower doses are advised and administration should be very slow, preferably using a diluted solutionPatient Controlled Analgesia (PCA):-Initial dose: 10 mg with a range of 1 to 5 mg per incremental dose; Lockout interval: 6 to 10 minutes; adjust dose based on patient responseFor continuous IV infusion, the usual adult dose is 15 to 35 mg per hourUse: For the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.''Usual Pediatric Dose for Pain:''Oral:Initial dose: 1.1 to 1.8 mg/kg orally every 3 to 4 hours as neededMaximum single dose: 50 to 150 mgMaximum daily dose: 600 mgParenteral:Initial dose: 1.1 to 1.8 mg/kg IM or subcutaneously every 3 to 4 hours as needed; IM administration is preferred when repeated doses are requiredMaximum single dose: 50 to 150 mg-May be administered IV, however, lower doses are advised and administration should be very slow, preferably using a diluted solutionComments:-The American Pain Society (APS) does not recommend this drug be used as an analgesic in infants, children, and those with acute vaso-occlusive crisis pain associated with sickle-cell disease.-Due to the risks of addiction, abuse, and misuse, this drug should be reserved for use in patients for whom alternative treatment options have not been tolerated or are not expected to be tolerated or have not provided adequate analgesia, or are not expected to provide adequate analgesia.-This drug should not be used for the treatment of chronic pain.Use: For the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.''''What happens if I miss a dose?''Since Demerol is used for pain, you are not likely to miss a dose. Skip any missed dose if it is almost time for your next dose. Do not use two doses at one time.''"
What happens if I overdose? Demerol,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. A meperidine overdose can be fatal, especially in a child or other person using the medicine without a prescription. Overdose symptoms may include slow breathing and heart rate, severe drowsiness, muscle weakness, cold and clammy skin, blue-colored skin or lips, fainting, or coma.''"
What should I avoid while using Demerol?,"''Do not drink alcohol. Dangerous side effects or death can occur when alcohol is combined with meperidine.''Avoid driving or hazardous activity until you know how this medicine will affect you. Dizziness or drowsiness can cause falls, accidents, or severe injuries.''"
Demerol side effects,"''Get emergency medical help if you have signs of an allergic reaction to Demerol: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up.''Stop using this medicine and call your doctor at once if you have:''slow heartbeats, weak or shallow breathing, breathing that stops during sleep;severe drowsiness, feeling like you might pass out;confusion, mood changes;severe constipation;tremors, muscle movements you cannot control, or a seizure (convulsions); orlow cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness.''Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea.''Serious side effects may be more likely in older adults and those who are malnourished or debilitated.''Long-term use of opioid medication may affect fertility (ability to have children) in men or women. It is not known whether opioid effects on fertility are permanent.''Common Demerol side effects may include:''dizziness, drowsiness;headache;nausea, vomiting; orsweating.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is denosumab (Prolia)? Denosumab,''Denosumab is a monoclonal antibody. Monoclonal antibodies are made to target and destroy only certain cells in the body. This may help to protect healthy cells from damage.''The Prolia brand of denosumab is used to treat osteoporosis or bone loss in men and women who have a high risk of bone fracture. Prolia is sometimes used in people whose bone fracture is caused by certain medicines or cancer treatments.''This medication guide provides information about the Prolia brand of denosumab. Xgeva is another brand of denosumab used to prevent bone fractures and other skeletal conditions in people with tumors that have spread to the bone.''Denosumab may also be used for purposes not listed in this medication guide.''''
Important Information Denosumab,"''This medication guide provides information about the Prolia brand of denosumab. Xgeva is another brand of denosumab used to prevent bone fractures and other skeletal conditions in people with tumors that have spread to the bone.''Prolia can cause many serious side effects. Call your doctor at once if you have a fever, chills, pain or burning when you urinate, severe stomach pain, cough, shortness of breath, skin problems, numbness or tingling, severe or unusual pain, or skin problems.''Do not use if you are pregnant. Use effective birth control while using Prolia, and for at least 5 months after you stop.''''"
