Questions,Answer
What is echinacea? Echinacea,"''Echinacea is an herb also known as Purple Cone Flower, Black Sampson, Black Susans, Fleur à Hérisson, Hedgehog, Igelkopfwurzel, Indian Head, Kansas Snakeroot, Red Sunflower, Rock-Up-Hat, Roter Sonnenhut, Rudbeckie Pourpre, Scurvy Root, Snakeroot, and many other names.''Echinacea has been used in alternative medicine as a possibly effective aid in treating the common cold, or vaginal yeast infections.''Echinacea has also been used to treat ear infections, or increasing exercise performance. However, research has shown that echinacea may not be effective in these conditions.''Other uses not proven with research have included treating anxiety, migraine headache, attention deficit hyperactivity disorder (ADHD), gingivitis, tonsillitis, genital herpes, human papilloma virus (HPV), low white blood cell counts, bladder infections, an eye condition called uveitis, and other conditions.''It is not certain whether echinacea is effective in treating any medical condition. Medicinal use of this product has not been approved by the FDA. Echinacea should not be used in place of medication prescribed for you by your doctor.''Echinacea is often sold as an herbal supplement. There are no regulated manufacturing standards in place for many herbal compounds and some marketed supplements have been found to be contaminated with toxic metals or other drugs. Herbal/health supplements should be purchased from a reliable source to minimize the risk of contamination.''Echinacea may also be used for purposes not listed in this product guide.''''"
Important Information Echinacea,"''Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.''''"
Before taking this medicine Echinacea,"''You should not use this product if you are allergic to echinacea or if you have:''an autoimmune disorder such as rheumatoid arthritis, lupus, or psoriasis.''Ask a doctor, pharmacist, or other healthcare provider if it is safe for you to use this product if you have any allergies, especially plant allergies (especially ragweed, mums, marigolds, or daisies).''Ask a doctor before using echinacea if you are pregnant or breastfeeding.''Do not give any herbal/health supplement to a child without medical advice. Echinacea should not be used in a child younger than 12 years old.''''"
How should I take echinacea? Echinacea,"''When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.''If you choose to use echinacea, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.''Echinacea is believed to work best when taken at the first sign of a cold. Although echinacea may not prevent a cold, this product might make cold symptoms less severe.''Do not take topical (for the skin) echinacea by mouth. Topical forms of this product are for use only on the skin.''Do not use different forms (tablets, liquid, tincture, teas, etc) of echinacea at the same time without medical advice. Using different formulations together increases the risk of an overdose.''Call your doctor if the condition you are treating with echinacea does not improve, or if it gets worse while using this product.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Skip the missed dose and take the next regularly scheduled dose. Do not take two doses at one time.''''"
What happens if I overdose? Echinacea,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
What should I avoid while taking echinacea? Echinacea,"''Avoid coffee, tea, cola, energy drinks, or other products that contain caffeine. Taking echinacea with caffeinated products can increase caffeine side effects such as headache, increased heart rate, and feeling jittery.''''"
Echinacea side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Although not all side effects are known, echinacea is thought to be possibly safe when taken for a short period of time.''Common side effects may include:''nausea, vomiting, stomach pain, diarrhea;fever, sore throat;muscle or joint pain;unusual or unpleasant taste in the mouth;dry mouth, numb feeling in your tongue;headache, dizziness, confusion; orsleep problems (insomnia).''Echinacea applied to the skin in a topical form can cause an itchy or red skin rash.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is  Ecotrin?,"''Ecotrin is a salicylate (sa-LIS-il-ate) that is used to treat pain, and reduce fever or inflammation.''Ecotrin is sometimes used to treat or prevent heart attacks, strokes, and chest pain (angina). This medicine should be used for cardiovascular conditions only under the supervision of a doctor.''Ecotrin may also be used for purposes not listed in this medication guide.''''"
Important Information Ecotrin,"''You should not use Ecotrin if you have a bleeding disorder such as hemophilia, a recent history of stomach or intestinal bleeding, or if you are allergic to an NSAID (non-steroidal anti-inflammatory drug).''Ecotrin can cause Reye's syndrome, a serious and sometimes fatal condition in children.''''"
Before taking this medicine Ecotrin,"''Do not give  Ecotrin to a child or teenager with a fever, flu symptoms, or chickenpox. Ecotrin can cause Reye's syndrome, a serious and sometimes fatal condition in children.''You should not use Ecotrin if you are allergic to it, or if you have:''a recent history of stomach or intestinal bleeding;a bleeding disorder such as hemophilia; orif you have ever had an asthma attack or severe allergic reaction after taking Ecotrin or an NSAID (non-steroidal anti-inflammatory drug).''Tell your doctor if you have ever had:''asthma or seasonal allergies;stomach ulcers;liver disease;kidney disease;a bleeding or blood clotting disorder;gout; orheart disease, high blood pressure, or congestive heart failure.''Taking Ecotrin during late pregnancy may cause bleeding in the mother or the baby during delivery. Tell your doctor if you are pregnant or plan to become pregnant.''You should not breastfeed while using this medicine.''''"
