Questions,Answer
What is famciclovir? Famciclovir,"''Famciclovir is an antiviral medicine that is used to treat infections caused by herpes viruses, including genital herpes, cold sores, and shingles.''Famciclovir is sometimes used in people with human immunodeficiency virus (HIV) who develop herpes outbreaks around the mouth, genitals, or anal area.''Famciclovir may not be effective in treating your first episode of genital herpes, but may help prevent future episodes. Famciclovir also may not be effective in Black or African-American people with genital herpes, and may not be effective in any person with shingles (herpes zoster) affecting the eyes.''There is no cure for herpes and famciclovir will not prevent you from developing symptoms in the future.''Famciclovir may also be used for purposes not listed in this medication guide.''''"
Important Information Famciclovir,"''Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.''''"
Before taking this medicine Famciclovir,"''You should not use  famciclovir if you are allergic to famciclovir or penciclovir cream (Denavir).''Tell your doctor if you have ever had:''liver disease;kidney disease;a weak immune system;galactose intolerance;severe lactase deficiency; orglucose-galactose malabsorption.''Tell your doctor if you are pregnant or plan to become pregnant. Herpes can be passed to your baby during childbirth if you have a genital lesion when your baby is born. If you have genital herpes, it is very important to prevent herpes lesions during pregnancy. Take your medicine as directed to best control your infection.''If you are pregnant, your name may be listed on a pregnancy registry to track the effects of famciclovir on the baby.''It may not be safe to breast-feed while using this medicine. Ask your doctor about any risk.''Famciclovir is not approved for use by anyone younger than 18 years old.''''"
How should I take famciclovir? Famciclovir,"''Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.''Taking more famciclovir than prescribed will not make this medicine more effective''For cold sores or genital herpes, you should start taking famciclovir as soon as possible after the first appearance of symptoms (such as tingling, burning, blisters).''You may take famciclovir with or without food.''Lesions caused by herpes viruses should be kept as clean and dry as possible. Wearing loose clothing may help to prevent irritation of the lesions.''To prevent recurrent genital herpes, you may need to take famciclovir for up to 1 year. Follow your doctor's instructions.''Use this medicine for the full prescribed length of time, even if your symptoms quickly improve. Skipping doses may increase the risk of your virus becoming resistant to medication.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''''"
What happens if I overdose? Famciclovir,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
What should I avoid while taking famciclovir? Famciclovir,''Taking  famciclovir will not prevent you from passing genital herpes to other people. Herpes infections are contagious and you can infect other people even while you are taking famciclovir.''Avoid driving or hazardous activity until you know how this medicine will affect you. Your reactions could be impaired.''Avoid sexual intercourse or use a latex condom to help keep you from spreading the virus to others. Avoid letting infected areas come into contact with other people. Avoid touching an infected area and then touching your eyes. Wash your hands frequently to prevent the spread of infection.''''
Famciclovir side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''confusion; orkidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath.''Common side effects may include:''headache; ornausea.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
Famciclovir dosing information,"''Usual Adult Dose for Herpes Simplex -- Mucocutaneous/Immunocompetent Host:Genital herpes:Initial episode: 250 mg orally 3 times a day for 7 to 10 days has been recommended by the US Centers for Disease Control and Prevention (CDC)Recurrent episodes: 1000 mg orally twice a day for 1 day; alternatively, 125 mg orally twice a day for 5 days has been recommended by the CDCFamciclovir should be started at the first sign or symptom of a recurrent episode (such as tingling, burning, itching, pain, or lesion).  The efficacy has not been established if started more than 6 hours after onset of symptoms or lesions.Usual Adult Dose for Herpes Simplex -- Mucocutaneous/Immunocompromised Host:Recurrent episodes of orolabial or genital herpes in HIV-infected patients: 500 mg orally twice a day for 7 days (5 to 10 days recommended by the CDC)Famciclovir should be started at the first sign or symptom of a recurrent episode (such as tingling, burning, itching, pain, or lesion).  The efficacy has not been established if started more than 48 hours after onset of symptoms or lesions.Usual Adult Dose for Herpes Simplex -- Suppression:Chronic suppression of recurrent genital herpes:Immunocompetent patients: 250 mg orally twice a dayHIV-infected patients: 500 mg orally twice a day has been recommended by the CDCTherapy should be continued as clinically appropriate, although the safety and efficacy of famciclovir therapy beyond 1 year have not been established.Usual Adult Dose for Herpes Zoster:500 mg orally every 8 hours for 7 daysFamciclovir is most effective if started within 48 hours of onset of rash.  The efficacy has not been established if started more than 72 hours after onset of rash.Usual Adult Dose for Herpes Simplex Labialis:Recurrent herpes labialis: 1500 mg orally as a single doseFamciclovir is most effective if started at the earliest sign or symptom of a cold sore (such as tingling, burning, itching, pain, or lesion).''"
What is famotidine? Famotidine,"''Famotidine is a histamine-2 blocker that works by decreasing the amount of acid the stomach produces.''Famotidine is used to treat and prevent ulcers in the stomach and intestines. It also treats conditions in which the stomach produces too much acid, such as Zollinger-Ellison syndrome.''Famotidine also treats gastroesophageal reflux disease (GERD) and other conditions in which acid backs up from the stomach into the esophagus, causing heartburn.''"
Important Information Famotidine,"''Before taking famotidine, tell your doctor if you have kidney or liver disease, a history of Long QT syndrome, stomach cancer or other problems, or asthma, COPD, or other breathing problems.''Famotidine may be only part of a complete program of treatment that also includes changes in diet or lifestyle habits. Follow your doctor's instructions very closely.'Heartburn is often confused with the first symptoms of a 'heart attack'. Seek emergency medical attention if you have chest pain or heavy feeling, pain spreading to the jaw, arm or shoulder, nausea, sweating, anxiety, light-headedness and a general ill feeling.'"
Before taking this medicine Famotidine,"''You should not use this medicine if you are allergic to famotidine or similar medicines such as ranitidine (Zantac), cimetidine (Tagamet), or nizatidine (Axid).''To make sure this medicine is safe for you, tell your doctor or pharmacist if you have ever had:''kidney disease;liver disease;cancer stomach; orlong QT syndrome (in you or a family member).''Ask a doctor before using famotidine if you are pregnant or breastfeeding.''"
How should I take famotidine? Famotidine,"''Use famotidine exactly as directed on the label, or as prescribed by your doctor.''Famotidine oral is taken by mouth.''Famotidine injection is given as an infusion into a vein. A healthcare provider will give you this injection if you are unable to take the medicine by mouth.''You may take famotidine oral with or without food.''Shake the bottle of Pepcid suspension (liquid) vigorously for 5 to 10 seconds prior to each use. Measure the liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).''Most ulcers heal within 4 weeks of treatment, but it may take up to 8 weeks of using this medicine before your ulcer heals. Keep using the medication as directed.''Call your doctor if the condition you are treating with this medicine does not improve, or if it gets worse while using this medicine.''Famotidine may be only part of a complete program of treatment that also includes changes in diet or lifestyle habits. Follow all instructions of your doctor or dietitian.''Store at room temperature away from moisture, heat, and light. Do not allow the liquid medicine to freeze.''Throw away any unused liquid that is older than 30 days.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''"
What happens if I overdose? Famotidine,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''
What should I avoid while taking famotidine? Famotidine,"''Avoid drinking alcohol. It can increase the risk of damage to your stomach.''Avoid taking other stomach acid reducers unless your doctor has told you to. However, you may take an antacid (such as Maalox, Mylanta, Gaviscon, Milk of Magnesia, Rolaids, or Tums) with famotidine.''"
What is Farxiga?,''Farxiga (dapagliflozin) is an oral diabetes medicine that helps control blood sugar levels. Dapagliflozin works by helping the kidneys get rid of glucose from your bloodstream.''Farxiga is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus.''Farxiga is used to lower the risk of needing to be in the hospital for heart failure in adults with type 2 diabetes who also have heart disease.''Farxiga is also used to lower the risk of needing to be in the hospital for heart failure in adults who have heart failure when the heart is weak and cannot pump enough blood to the rest of the body.''Farxiga is not for treating type 1 diabetes.''
Important Information Farxiga,"''You should not use Farxiga if you have diabetic ketoacidosis, severe kidney disease, or if you are on dialysis.''Taking Farxiga can make you dehydrated, which could cause you to feel weak or dizzy (especially when you stand up).''Farxiga can cause serious infections in the penis or vagina. Get medical help right away if you have burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, or if you don't feel well.''Some people taking this medicine have had bladder cancer, but it is not clear if dapagliflozin was the actual cause.''"
Before taking this medicine Farxiga,"''You should not use Farxiga if you are allergic to dapagliflozin, or if you have:''severe kidney disease (or if you are on dialysis); ordiabetic ketoacidosis (call your doctor for treatment).''To make sure Farxiga is safe for you, tell your doctor if you have ever had:''liver or kidney disease;bladder infections or other urination problems;low blood pressure;problems with your pancreas, including surgery;if you are dehydrated;if you drink alcohol often; orif you are on a low salt diet.''Follow your doctor's instructions about using this medicine if you are pregnant. Blood sugar control is very important during pregnancy, and your dose needs may be different during each trimester.''You should not use Farxiga during the second or third trimester of pregnancy.''You should not breast-feed while using this medicine.''Farxiga is not approved for use by anyone younger than 18 years old.''"
How should I take Farxiga?,"''Take Farxiga exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.''You may take Farxiga with or without food.''Call your doctor if you are sick with vomiting or diarrhea, if you consume less food or fluid than usual, or if you are sweating more than usual.''Your blood sugar will need to be checked often, and you may also need to test the level of ketones your urine. Farxiga can cause life-threatening ketoacidosis (too much acid in the blood). Even if your blood sugar is normal, contact your doctor if a urine test shows that you have ketones in the urine.''You may have low blood sugar (hypoglycemia) and feel very hungry, dizzy, irritable, confused, anxious, or shaky. To quickly treat hypoglycemia, eat or drink a fast-acting source of sugar (fruit juice, hard candy, crackers, raisins, or non-diet soda).''Your doctor may prescribe a glucagon injection kit in case you have severe hypoglycemia. Be sure your family or close friends know how to give you this injection in an emergency.''Also watch for signs of high blood sugar (hyperglycemia) such as increased thirst or urination.''Blood sugar levels can be affected by stress, illness, surgery, exercise, alcohol use, or skipping meals. You may need to stop taking Farxiga for at least 3 days before a surgery. Ask your doctor before changing your dose or medication schedule.''This medicine can affect the results of certain medical tests. Tell any doctor who treats you that you are using this medicine.''Farxiga is only part of a complete treatment program that may also include diet, exercise, weight control, blood sugar testing, and special medical care. Follow your doctor's instructions very closely.''Store at room temperature away from moisture and heat.''"
Farxiga dosing information,"''Usual Adult Dose for Diabetes Type 2:''To improve glycemic control:Initial dose: 5 mg orally once a day-May increase to 10 mg orally once a day for additional glycemic control if lower dose has been toleratedMaximum dose: 10 mg/dayTo reduce the risk of hospitalization for heart failure: 10 mg orally once a dayComments:-Correct volume depletion prior to initiating therapy.-If used in combination with insulin or an insulin secretagogue, a lower dose of insulin or the insulin secretagogue should be considered to reduce the risk of hypoglycemia.Uses:-As an adjunct to diet and exercise to improve glycemic control in patients with type 2 diabetes mellitus.-To reduce the risk of hospitalization for heart failure in patients with type 2 diabetes mellitus and established cardiovascular disease (CVD) or multiple cardiovascular (CV) risk factors.''Usual Adult Dose for Heart Failure with Reduced Ejection Fraction:''10 mg orally once a dayComments:-Correct volume depletion prior to initiating therapy.-This drug is not recommended for patients with type 1 diabetes mellitus.Use: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure (NYHA class II-IV) with reduced ejection fraction.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''"
What happens if I overdose? Farxiga,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''
What should I avoid while taking Farxiga?,"''Avoid getting up too fast from a sitting or lying position, or you may feel dizzy.''"
Farxiga side effects,"''Get emergency medical help if you have signs of an allergic reaction to Farxiga: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Seek medical attention right away if you have signs of a genital infection (penis or vagina): burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, not feeling well. These symptoms may get worse quickly.''Call your doctor at once if you have:''little or no urination;dehydration symptoms - dizziness, weakness, feeling light-headed (like you might pass out);kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath;ketoacidosis (too much acid in the blood) - nausea, vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing; orsigns of a bladder infection - pain or burning when you urinate, increased urination, blood in your urine, fever, pain in your pelvis or back.''Side effects may be more likely to occur in older adults.''Common Farxiga side effects include:''genital yeast infection;urinating more than usual; orsore throat and runny or stuffy nose.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect Farxiga?,"''Tell your doctor about all your other medicines, especially:''insulin or other oral diabetes medicines; ora diuretic or ""water pill.""''This list is not complete. Other drugs may interact with dapagliflozin, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here.''''"
What is febuxostat? Febuxostat,"''Febuxostat reduces the production of uric acid in your body. A build-up of uric acid can cause gout symptoms.''Febuxostat is used to keep uric acid levels from getting to high in people with gout.''Febuxostat is for use only in people who cannot take another medicine called allopurinol, or when allopurinol has stopped working.''Febuxostat may also be used for purposes not listed in this medication guide.''''"
Important Information Febuxostat,"''Taking febuxostat may increase your risk of serious or fatal heart problems. Seek medical attention if you have chest pain, trouble breathing, fast heartbeats, sudden severe headache, numbness or weakness on one side of your body, or problems with vision or speech.''You should not use febuxostat if you also use azathioprine or mercaptopurine.''''"
Before taking this medicine Febuxostat,"''You should not use febuxostat if you are allergic to it, or if you also use:''azathioprine; ormercaptopurine.''Taking febuxostat may increase your risk of serious or fatal heart problems. Talk with your doctor about the risks and benefits of  febuxostat.''Tell your doctor if you have ever had:''heart problems;a heart attack or stroke;liver or kidney disease;cancer;Lesch-Nyhan syndrome; oran organ transplant (kidney, liver, lung, heart).''Tell your doctor if you are pregnant or breastfeeding.''''"
