Questions,Answer
What is  Halcion?,''Halcion is a benzodiazepine (ben-zoe-dye-AZE-eh-peen) that is used to treat insomnia (trouble falling or staying asleep).''Halcion may also be used for purposes not listed in this medication guide.''''
Important Information Halcion,"''Halcion can slow or stop your breathing, especially if you have recently used an opioid medication, alcohol, or other drugs that can slow your breathing.''MISUSE OF  Halcion CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it.''Tell your doctor about all your current medicines and any you start or stop using. Many drugs can interact, and some drugs should not be used together.''''"
Before taking this medicine Halcion,"''You should not use this medicine if you are allergic to Halcion or similar medicines (such as alprazolam, diazepam, lorazepam, Ativan, Klonopin, Restoril, Tranxene, Valium, Versed, Xanax, and others).''Many drugs can interact and cause dangerous effects. Some drugs should not be used together with Halcion. Your doctor may change your treatment plan if you also use:''nefazodone;an antibiotic--clarithromycin, telithromycin;antifungal medicine--itraconazole, ketoconazole, posaconazole, voriconazole; orantiviral medicine to treat HIV or hepatitis C--boceprevir, cobicistat, dasabuvir, elvitegravir, indinavir, lopinavir/ritonavir, nelfinavir, ombitasvir, paritaprevir saquinavir, telaprevir, tipranavir.''Tell your doctor if you have ever had:''depression, mental illness, suicidal thoughts or actions;lung disease, breathing problems, sleep apnea (breathing stops during sleep); oralcoholism or drug addiction.''Tell your doctor if you are pregnant or plan to become pregnant. If you use Halcion while you are pregnant, your baby could become dependent on the drug. This can cause life-threatening withdrawal symptoms in the baby after it is born. Babies born dependent on habit-forming medicine may need medical treatment for several weeks.''If you are breastfeeding, tell your doctor if you notice drowsiness, breathing problems, or feeding problems in the nursing baby.''Halcion is not approved for use by anyone younger than 18 years old.''''"
How should I take  Halcion?,"''Follow the directions on your prescription label and read all medication guides. Never use Halcion in larger amounts, or for longer than prescribed. Tell your doctor if you feel an increased urge to use more of  Halcion.''Never share Halcion with another person, especially someone with a history of drug abuse or addiction. MISUSE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it. Selling or giving away this medicine is against the law.''Take this medicine only when you are getting ready for several hours of sleep. You may fall asleep very quickly after taking the medicine.''Avoid using Halcion to prevent jet lag while traveling by airplane.''Call your doctor if your insomnia does not improve after taking Halcion for 7 to 10 nights, or if you have any mood or behavior changes. Insomnia can be a symptom of depression, mental illness, or certain medical conditions.''Do not take Halcion for longer than 10 nights in a row, unless your doctor has told you to. The first few nights after you stop taking this medicine, your insomnia symptoms may return and could be worse than before. Follow your doctor's instructions about tapering your dose.''Store at room temperature away from moisture, heat, and light. Keep track of your medicine. You should be aware if anyone is using it improperly or without a prescription.''''What happens if I miss a dose?''Since  Halcion is used when needed, you may not be on a dosing schedule. Take Halcion only when you have time for several hours of sleep. Do not use two doses at one time.''''"
What happens if I overdose? Halcion,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of triazolam can be fatal, especially if taken with alcohol.''Overdose symptoms may include extreme drowsiness, confusion, slurred speech, loss of coordination, weak or shallow breathing, fainting, or coma.''''"
What should I avoid while taking  Halcion?,"''Do not drink alcohol. Dangerous side effects or death could occur.''You may still feel sleepy the morning after taking  Halcion. Wait until you are fully awake before you drive, operate machinery, or do anything that requires you to be awake and alert. Your reactions may be impaired.''Grapefruit may interact with Halcion and lead to unwanted side effects. Avoid the use of grapefruit products.''''"
 Halcion side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.''Halcion can slow or stop your breathing, especially if you have recently used an opioid medication, alcohol, or other drugs that can slow your breathing. A person caring for you should seek emergency medical attention if you have weak or shallow breathing, if you are hard to wake up, or if you stop breathing.''Call your doctor at once if you have:''daytime anxiety;unusual changes in mood or behavior;confusion, memory loss, agitation, hallucinations; ordepression, suicidal thoughts.''Some people using Halcion have engaged in activity such as driving, eating, making phone calls, or having sex and later having no memory of the activity. Tell your doctor if this happens to you.''The sedative effects of triazolam may last longer in older adults. Accidental falls are common in elderly patients who take benzodiazepines. Use caution to avoid falling or accidental injury while you are taking Halcion.''Common side effects may include:''daytime drowsiness (or during hours when you are not normally sleeping);loss of coordination;dizziness; orfeeling light-headed.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is  Haldol?,''Haldol is an antipsychotic medicine that is used to treat schizophrenia.''Haldol is also used to control motor and speech tics in people with Tourette's syndrome.''Haldol may also be used for purposes not listed in this medication guide.''''
Important Information Haldol,''You should not use  Haldol if you have Parkinson's disease or certain conditions that affect your central nervous system.''Haldol is not approved for use in older adults with dementia-related psychosis.''''
Before taking this medicine Haldol,"''You should not use Haldol if you are allergic to it, or if you have:''Parkinson's disease; orcertain conditions that affect your central nervous system (such as severe drowsiness, or slowed thinking caused by taking other medicines or drinking alcohol).''Haldol may increase the risk of death in older adults with dementia-related psychosis and is not approved for this use.''Tell your doctor if you have ever had:''heart problems, angina (chest pain);long QT syndrome (in you or a family member);low blood pressure;a seizure;a thyroid disorder;breast cancer; oran electrolyte imbalance (such as low levels of potassium or magnesium in your blood).''Taking antipsychotic medicine in the last 3 months of pregnancy may cause breathing problems, feeding problems, or withdrawal symptoms in the newborn. If you get pregnant, tell your doctor right away. Do not stop taking Haldol without your doctor's advice.''It may not be safe to breastfeed while using this medicine. Ask your doctor about any risk.''''"
