Questions,Answer
What is Kadcyla?,''Kadcyla (ado-trastuzumab emtansine) is a cancer medicine that interferes with the growth and spread of cancer cells in the body.''Kadcyla is used to treat HER2-positive breast cancer.''Kadcyla is used both for early breast cancer and for breast cancer that has spread to other parts of the body (metastatic).''Kadcyla is usually given after other cancer medications have been tried without success.''Kadcyla should not be used in place of Herceptin (trastuzumab).''
Important Information,"''Do not use Kadcyla if you are pregnant. It could harm the unborn baby. Use effective birth control, and tell your doctor if you become pregnant during treatment.''You may need to have a negative pregnancy test before starting this treatment.''Kadcyla can harm your liver. Call your doctor at once if you have upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of the skin or eyes).''Before you receive each Kadcyla injection, your heart function may need to be checked using an electrocardiograph or ECG (sometimes called an EKG).''"
Before taking this medicine,"''You should not use Kadcyla if you are allergic to ado-trastuzumab emtansine.''Do not use Kadcyla if you are pregnant. It could harm the unborn baby or cause birth defects. Use effective birth control to prevent pregnancy while you are using this medicine and for at least 7 months after your last dose.''Tell your doctor if you become pregnant during treatment.''To make sure Kadcyla is safe for you, tell your doctor if you have ever had:''heart problems;liver disease (especially hepatitis B or C);bleeding or blood clotting disorder such as hemophilia; orasthma, chronic obstructive pulmonary disease (COPD), sleep apnea, or other breathing disorder.''You should not breast-feed while using this medicine.''How is Kadcyla given?''Kadcyla is given as an infusion into a vein. A healthcare provider will give you this injection.''This medicine must be given slowly, and the infusion can take 30 to 90 minutes to complete.''Tell your caregivers if you feel any burning, pain, or swelling around the IV needle when Kadcyla is injected.''Kadcyla is usually given once every 3 weeks. Your doctor will determine how long to treat you.''You may need frequent medical tests to be sure this medicine is not causing harmful effects. Your cancer treatments may be delayed based on the results.''"
Kadcyla dosing information,"''Usual Adult Dose for Breast Cancer:''3.6 mg/kg IV every 3 weeks (21-day cycle) until disease progression or unacceptable toxicityMaximum dose: 3.6 mg/kg IV every 3 weeksComments:-Administer the first infusion over 90 minutes. Subsequent infusions may be administered over 30 minutes as tolerated.-Observe patients during and for at least 90 minutes following the initial dose for fever, chills, or other infusion-related reactions.-Patients should have a HER2 positive tumor status confirmed prior to starting therapy.-Do not substitute trastuzumab emtansine for or with trastuzumab.-If a planned dose is delayed or missed, it should be administered as soon as possible; do not wait until the next planned cycle.Use: As a single agent, for HER2-positive, metastatic breast cancer in patients who previously received trastuzumab and a taxane, separately or in combination; patients should have either:-Received prior therapy for metastatic diseaseOR-Developed disease recurrence during or within 6 months of completing adjuvant therapy''''What happens if I miss a dose?''Call your doctor for instructions if you miss an appointment for your Kadcyla injection.''"
What happens if I overdose?,"''Since this medication is given by a healthcare professional in a medical setting, an overdose is unlikely to occur.''"
What should I avoid while taking Kadcyla?,"''Avoid activities that may increase your risk of bleeding or injury. Use extra care to prevent bleeding while shaving or brushing your teeth.''Ado-trastuzumab emtansine can pass into body fluids (urine, feces, vomit). For at least 48 hours after you receive a dose, avoid allowing your body fluids to come into contact with your hands or other surfaces. Caregivers should wear rubber gloves while cleaning up a patient's body fluids, handling contaminated trash or laundry or changing diapers. Wash hands before and after removing gloves. Wash soiled clothing and linens separately from other laundry.''"
Kadcyla side effects,"''Get emergency medical help if you have signs of an allergic reaction to Kadcyla: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Some side effects may occur during the injection. Tell your caregiver right away if you feel cold, light-headed, feverish or sweaty, or have chest tightness, rapid heartbeats, or trouble breathing.''Call your doctor at once if you have:''easy bruising, unusual bleeding, purple or red spots under your skin;coughing up blood or vomit that looks like coffee grounds;bloody or tarry stools;chest pain, wheezing, dry cough, feeling short of breath;unusual tiredness, feeling light-headed;pale skin, cold hands and feet;numbness, tingling, or burning pain in your hands or feet;sudden numbness or weakness (especially on one side of the body), severe headache, slurred speech, balance problems;liver problems - loss of appetite, stomach pain (upper right side), dark urine, jaundice (yellowing of the skin or eyes); orsigns of tumor cell breakdown - confusion, weakness, muscle cramps, nausea, vomiting, fast or slow heart rate, decreased urination, tingling in your hands and feet or around your mouth.''Your cancer treatments may be delayed or permanently discontinued if you have certain side effects.''Common Kadcyla side effects may include:''easy bruising or bleeding (especially nosebleeds);nausea, constipation;joint or muscle pain;headache; orfeeling tired.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is Kadian?,"''Kadian (morphine) is an opioid medication. An opioid is sometimes called a narcotic.''Kadian extended-release capsules are used to treat moderate to severe pain.''Kadian extended-release capsules are used for around-the-clock treatment of pain when other pain treatments, such as non-opioid pain medicines or immediate-release opioid medicines, do not treat your pain well enough or you cannot tolerate them.''Kadian is not for use on an as-needed basis for pain.''"
Important Information Kadian,"''You should not take Kadian if you have severe asthma or breathing problems, a blockage in your stomach or intestines, or a bowel obstruction called paralytic ileus.''Morphine can slow or stop your breathing, and may be habit-forming MISUSE OF KADIAN CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, , especially in a child or other person using the medicine without a prescription. Keep the medication in a place where others cannot get to it.''Taking Kadian during pregnancy may cause life-threatening withdrawal symptoms in the newborn.''Fatal side effects can occur if you use Kadian with alcohol, or with other drugs that cause drowsiness or slow your breathing.''"
Before taking this medicine Kadian,"''You should not take Kadian if you have ever had an allergic reaction to morphine or other narcotic medicines, or if you have:''severe asthma or breathing problems; ora blockage in your stomach or intestines.''Do not use Kadian if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others.''To make sure Kadian is safe for you, tell your doctor if you have ever had:''breathing problems, sleep apnea;a head injury, brain tumor, or seizures;a drug or alcohol addiction, or mental illness;urination problems;liver or kidney disease; orproblems with your gallbladder, pancreas, or thyroid.''If you use opioid medicine while you are pregnant, your baby could become dependent on the drug. This can cause life-threatening withdrawal symptoms in the baby after it is born. Babies born dependent on opioids may need medical treatment for several weeks.''Do not breast-feed while taking morphine. Morphine can pass into breast milk and cause drowsiness, breathing problems, or death in a nursing baby.''How should I use Kadian?''Take Kadian exactly as prescribed by your doctor. Follow the directions on your prescription label and read all medication guides. Never use morphine in larger amounts, or for longer than prescribed. Tell your doctor if you feel an increased urge to take more of this medicine.''Never share opioid medicine with another person, especially someone with a history of drug abuse or addiction. MISUSE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it. Selling or giving away opioid medicine is against the law.''Stop taking all other around-the-clock narcotic pain medications when you start taking Kadian.''Swallow the capsule whole to avoid exposure to a potentially fatal overdose. Crushing, chewing, or dissolving the pellets will result in uncontrolled delivery of morphine and can lead to overdose or death.''To make swallowing easier, you may open the extended-release capsule and sprinkle the medicine into a spoonful of applesauce. Swallow right away without chewing. Rinse the mouth to ensure all pellets have been swallowed. Do not save the mixture for later use.''Do not stop using Kadian suddenly, or you could have unpleasant withdrawal symptoms. Ask your doctor how to safely stop using this medicine.''Never crush or break a Kadian capsule to inhale the powder or mix it into a liquid to inject the drug into your vein. This practice has resulted in death with the misuse of morphine and similar prescription drugs.''Store at room temperature, away from heat, moisture, and light. Keep track of your medicine. You should be aware if anyone is using it improperly or without a prescription.''Do not keep leftover opioid medication. Just one dose can cause death in someone using this medicine accidentally or improperly. Ask your pharmacist where to locate a drug take-back disposal program. If there is no take-back program, flush the unused medicine down the toilet.''"
Kadian Dosing Information,"''Usual Adult Dose for Pain:''Extended-release capsules:Different extended-release products are not bioequivalent. Conversion from one extended-release product to the same total daily dose of another extended-release product may lead to either excessive sedation at peak or inadequate analgesia at trough. Individual product information should be consulted before prescribing and the dosage should be adjusted to the individual patient.Opioid naive:Initial dose: 30 mg orally every 24 hoursOpioid tolerant:Appropriate dose should be taken 1 to 2 times daily.''''What happens if I miss a dose?''Kadian is usualy taken once per day (every 24 hours) or twice daily (every 12 hours). Since Kadian is used for pain, you are not likely to miss a dose. If you do miss a dose, take the medicine as soon as you remember. Then take your next dose as follows:''If you take Kadian 2 times per day: Take your next dose 12 hours after taking the missed dose.If you take Kadian 1 time per day: Take your next dose 24 hours after taking the missed dose.''Do not take two doses at one time. Do not take more than your prescribed dose in a 24-hour period.''"
What happens if I overdose? Kadian,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. A morphine overdose can be fatal, especially in a child or other person using the medicine without a prescription. Overdose symptoms may include slow heart rate, severe drowsiness, muscle weakness, cold and clammy skin, pinpoint pupils, very slow breathing, or coma.''"
What should I avoid while using Kadian?,"''Do not drink alcohol. Dangerous side effects or death could occur.''Avoid driving or hazardous activity until you know how morphine will affect you. Dizziness or drowsiness can cause falls, accidents, or severe injuries.''"
Kadian side effects,"''Get emergency medical help if you have signs of an allergic reaction to Kadian: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up.''To make sure Kadian is safe for you, tell your doctor if you have ever had:''slow heart rate, sighing, weak or shallow breathing, breathing that stops during sleep;chest pain, fast or pounding heartbeats;extreme drowsiness, feeling like you might pass out; orlow cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness.''Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea.''Serious side effects may be more likely in older adults and those who are malnourished or debilitated.''Long-term use of opioid medication may affect fertility (ability to have children) in men or women. It is not known whether opioid effects on fertility are permanent.''Common Kadian side effects may include:''drowsiness, dizziness, tiredness;constipation, stomach pain, nausea, vomiting;sweating; orfeelings of extreme happiness or sadness.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is Kaletra?,"''Kaletra contains a combination of lopinavir and ritonavir. Lopinavir and ritonavir are antiviral medications that prevent the human immunodeficiency virus (HIV) from multiplying in your body.''Kaletra is used to treat HIV, which causes the acquired immunodeficiency syndrome (AIDS).''Kaletra is not a cure for HIV or AIDS.''"
Important information Kaletra,"''Kaletra can cause a serious heart problem, especially if you use certain other medicines at the same time. Tell your doctor about all your current medicines and any medicine you start or stop using.''Call your doctor at once if you have a headache with chest pain, fast or pounding heartbeats, and severe dizziness.''"
