Questions,Answer
What is labetalol? Labetalol,''Labetalol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins).''Labetalol is used to treat hypertension (high blood pressure). Labetalol oral is sometimes given with other blood pressure medications.''Labetalol injection is used when hypertension is severe.''Labetalol may also be used for purposes not listed in this medication guide.''''
Important Information Labetalol,"''You should not use labetalol if you have asthma, very low blood pressure, or a serious heart condition such as 2nd or 3rd degree ""AV block,"" uncontrolled heart failure, or very slow heartbeats.''''"
Before taking this medicine Labetalol,"''You should not use labetalol if you are allergic to it, or if you have:''asthma;""AV block"" (2nd or 3rd degree);uncontrolled heart failure;very low blood pressure;slow heartbeats that have caused you to faint; orif your heart cannot pump blood properly.''Tell your doctor if you have ever had:''congestive heart failure;angina (chest pain);liver disease;emphysema, chronic bronchitis, or other breathing problems;pheochromocytoma (tumor of the adrenal gland);diabetes;coronary artery bypass surgery (sometimes called ""CABG"");kidney disease; orallergies.''Labetalol can affect your pupils during cataract surgery. Tell your eye surgeon ahead of time that you use  labetalol.''It is not known whether labetalol will harm an unborn baby. Labetalol may cause low blood pressure, low blood sugar, slow heartbeats, or breathing problems in a newborn if the mother uses labetalol during pregnancy. Tell your doctor if you are pregnant or plan to become pregnant.''It may not be safe to breastfeed while using this medicine. Ask your doctor about any risk.''Labetalol is not approved for use by anyone younger than 18 years old.''''How should I use labetalol?''Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.''Labetalol oral is taken by mouth.''Labetalol injection is given as an infusion into a vein when hypertension is severe. A healthcare provider will give you this injection.''After receiving a labetalol injection, you may need to remain lying down for up to 3 hours. You may feel light-headed when you first stand up.''Your blood pressure will need to be checked often, and you may need other medical tests.''Keep using this medicine as directed, even if you feel well. High blood pressure often has no symptoms. You may need to use blood pressure medicine for the rest of your life.''Using labetalol can make it harder for you to tell when your blood sugar is low. If you have diabetes, check your blood sugar regularly.''Labetalol can cause false results with certain lab tests of the urine. This medicine also may affect a drug-screening urine test and you may have false results. Tell the laboratory staff that you use labetalol.''If you need surgery, tell the surgeon ahead of time that you are using labetalol.''You should not stop using labetalol suddenly. Stopping suddenly may make your condition worse.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Labetalol oral: Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''Because you will receive labetalol injection in a clinical setting, you are not likely to miss a dose.''''"
What happens if I overdose? Labetalol,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''Overdose symptoms may include slow heart rate, wheezing, chest tightness, trouble breathing, extreme dizziness, seizure, or fainting.''''"
What should I avoid while using labetalol? Labetalol,"''Avoid driving or hazardous activity until you know how  labetalol will affect you. Your reactions could be impaired.''Avoid getting up too fast from a sitting or lying position, or you may feel dizzy.''Drinking alcohol can further lower your blood pressure and may increase certain side effects of labetalol.''''"
Labetalol side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''a light-headed feeling, like you might pass out;slow heart rate, weak pulse, fainting, slow breathing (breathing may stop);shortness of breath (even with mild exertion), swelling, rapid weight gain;severe headache, blurred vision, pounding in your neck or ears; orliver problems--loss of appetite, stomach pain (upper right side), flu-like symptoms, itching, dark urine, jaundice (yellowing of the skin or eyes).''Severe dizziness or fainting may be more likely in older adults.''Common side effects may include:''dizziness, drowsiness, tiredness;nausea, vomiting;sudden warmth, skin redness, sweating;numbness; ortingly feeling in your scalp.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is lactulose? Lactulose,"''Lactulose is a type of sugar. It is broken down in the large intestine into mild acids that draw water into the colon, which helps soften the stools.''Lactulose is used to treat chronic constipation.''Lactulose is sometimes used to treat or prevent certain conditions of the brain that are caused by liver failure, which can lead to confusion, problems with memory or thinking, behavior changes, tremors, feeling irritable, sleep problems, loss of coordination, and loss of consciousness.''Lactulose may also be used for purposes not listed in this medication guide.''''"
Important Information Lactulose,"''You should not use this medication if you are on a special diet low in galactose (milk sugar).''Before taking lactulose, tell your doctor if you have diabetes or if you need to have any type of intestinal test using a scope (such as a colonoscopy).''It may take up to 48 hours before you have a bowel movement after taking lactulose.''Stop using lactulose and call your doctor at once if you have severe or ongoing diarrhea.''The liquid form of lactulose may become slightly darker in color, but this is a harmless effect. However, do not use the medicine if it becomes very dark, or if it gets thicker or thinner in texture.''If you use lactulose over a long period of time, your doctor may want you to have occasional blood tests. Do not miss any scheduled appointments.''''"
Before taking this medicine Lactulose,"''You should not use this medication if you are on a special diet low in galactose (milk sugar).''To make sure you can safely take lactulose, tell your doctor if you have other medical conditions, especially:''diabetes; orif you need to have any type of intestinal test using a scope (such as a colonoscopy).''FDA pregnancy category B. This medication is not expected to be harmful to an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant during treatment.''It is not known whether lactulose passes into breast milk or if it could harm a nursing baby. Do not use this medication without telling your doctor if you are breast-feeding a baby.''''"
How should I take lactulose? Lactulose,"''Take exactly as prescribed by your doctor. Do not take in larger or smaller amounts or for longer than recommended. Follow the directions on your prescription label.''Measure liquid medicine with a special dose-measuring spoon or cup, not a regular table spoon. If you do not have a dose-measuring device, ask your pharmacist for one.''The liquid form of lactulose may become slightly darker in color, but this is a harmless effect. However, do not use the medicine if it becomes very dark, or if it gets thicker or thinner in texture.''Lactulose powder should be mixed with at least 4 ounces of water. You may also use fruit juice or milk to make the medication taste better.''It may take up to 48 hours before you have a bowel movement after taking lactulose.''If you use lactulose over a long period of time, your doctor may want you to have occasional blood tests. Do not miss any scheduled appointments.''Store lactulose at room temperature away from moisture and heat.''''What happens if I miss a dose?''Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.''''"
