Questions,Answer
What is nabumetone? Nabumetone,''Nabumetone is a nonsteroidal anti-inflammatory drug (NSAID). Nabumetone works by reducing hormones that cause inflammation and pain in the body.''Nabumetone is used to relieve the symptoms of rheumatoid arthritis or osteoarthritis.''Nabumetone may also be used for purposes not listed in this medication guide.''''
Important Information Nabumetone,"''Nabumetone can increase your risk of fatal heart attack or stroke. Do not use  nabumetone just before or after heart bypass surgery (coronary artery bypass graft, or CABG). Nabumetone may also cause stomach or intestinal bleeding, which can be fatal.''''"
Before taking this medicine Nabumetone,"''Nabumetone can increase your risk of fatal heart attack or stroke, even if you don't have any risk factors. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG).''Nabumetone may also cause stomach or intestinal bleeding, which can be fatal. These conditions can occur without warning while you are using nabumetone, especially in older adults.''You should not use nabumetone if you are allergic to it, or if you have ever had an asthma attack or severe allergic reaction after taking aspirin or an NSAID.''Tell your doctor if you have ever had:''heart disease, high blood pressure, high cholesterol, diabetes, or if you smoke;a heart attack, stroke, or blood clot;stomach ulcers or bleeding;asthma;liver or kidney disease; orfluid retention.''If you are pregnant, you should not take nabumetone unless your doctor tells you to. Taking an NSAID during the last 20 weeks of pregnancy can cause serious heart or kidney problems in the unborn baby and possible complications with your pregnancy.''You should not breastfeed while using this medicine.''Nabumetone is not approved for use by anyone younger than 18 years old.''''"
How should I take nabumetone? Nabumetone,"''Follow all directions on your prescription label and read all medication guides. Your doctor may occasionally change your dose. Use the lowest dose that is effective in treating your condition.''You may take nabumetone with or without food.''If you use  nabumetone long-term, you may need frequent medical tests.''Store at room temperature away from moisture and heat. Keep the bottle tightly closed when not in use.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''''"
What happens if I overdose? Nabumetone,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
What should I avoid while taking nabumetone? Nabumetone,"''Avoid drinking alcohol. It may increase your risk of stomach bleeding.''Avoid taking aspirin while you are taking nabumetone.''Ask a doctor or pharmacist before using other medicines for pain, fever, swelling, or cold/flu symptoms. They may contain ingredients similar to nabumetone (such as aspirin, ibuprofen, ketoprofen, or naproxen).''Nabumetone could make you sunburn more easily. Avoid sunlight or tanning beds. Wear protective clothing and use sunscreen (SPF 30 or higher) when you are outdoors.''''"
Nabumetone side effects,"''Get emergency medical help if you have signs of an allergic reaction (hives, sneezing, runny or stuffy nose, wheezing, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling).''Get emergency medical help if you have signs of a heart attack or stroke: chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath.''Stop using nabumetone and call your doctor at once if you have:''shortness of breath (even with mild exertion);swelling or rapid weight gain;the first sign of any skin rash, no matter how mild;signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;liver problems--nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);kidney problems--little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; orlow red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet.''Common side effects may include:''stomach pain, indigestion, nausea;diarrhea, constipation, gas;swelling in your hands and feet;headache, dizziness;itching, skin rash; orringing in your ears.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
Nabumetone dosing information,"''Usual Adult Dose for Osteoarthritis:Initial dose: 1000 mg orally once a dayMaintenance dose: 1500 to 2000 mg orally per day in 1 or 2 divided dosesMaximum dose: 2000 mg/dayComments:-Patients weighing less than 50 kg may be less likely to require dosages beyond 1000 mg.-Once response to therapy is determined, dose and frequency should be adjusted to the lowest effective dose for the shortest duration possible to suit the individual patient's treatment goals.Use: For the relief of signs and symptoms of osteoarthritis and rheumatoid arthritis.Usual Adult Dose for Rheumatoid Arthritis:Initial dose: 1000 mg orally once a dayMaintenance dose: 1500 to 2000 mg orally per day in 1 or 2 divided dosesMaximum dose: 2000 mg/dayComments:-Patients weighing less than 50 kg may be less likely to require dosages beyond 1000 mg.-Once response to therapy is determined, dose and frequency should be adjusted to the lowest effective dose for the shortest duration possible to suit the individual patient's treatment goals.Use: For the relief of signs and symptoms of osteoarthritis and rheumatoid arthritis.''"
What is nadolol? Nadolol,''Nadolol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins).''Nadolol is used to treat angina (chest pain) or hypertension (high blood pressure).''Nadolol may also be used for other purposes not listed in this medication guide.''''
Important Information Nadolol,"''You should not use nadolol if you have asthma, a serious heart condition, severe heart failure, or if your heart cannot pump blood properly.''''"
Before taking this medicine Nadolol,"''You should not use nadolol if you are allergic to it, or if you have:''asthma;a serious heart condition such as ""AV block"" (2nd or 3rd degree) or severe heart failure; orif your heart cannot pump blood properly.''To make sure nadolol is safe for you, tell your doctor if you have:''coronary artery disease (clogged arteries);congestive heart failure;a thyroid disorder;kidney disease;diabetes (taking nadolol can make it harder for you to tell when you have low blood sugar); ora history of allergies.''It is not known whether nadolol will harm an unborn baby. Nadolol may cause heart or lung problems in a newborn if the mother takes the medicine during pregnancy. Tell your doctor if you are pregnant or plan to become pregnant while using nadolol.''Nadolol can pass into breast milk and may harm a nursing baby. You should not breast-feed while taking nadolol.''''"
How should I take nadolol? Nadolol,"''Follow all directions on your prescription label. Your doctor may occasionally change your dose to make sure you get the best results. Do not use  nadolol in larger or smaller amounts or for longer than recommended.''Nadolol is usually taken once per day. Follow your doctor's dosing instructions very carefully.''Do not skip doses or stop using nadolol suddenly. Stopping suddenly may make your condition worse. Follow your doctor's instructions about tapering your dose.''Your blood pressure will need to be checked often.''This medicine can cause unusual results with certain medical tests. Tell any doctor who treats you that you are using nadolol.''If you need surgery, tell the surgeon ahead of time that you are using nadolol.''If you are being treated for high blood pressure, keep using this medicine even if you feel well. High blood pressure often has no symptoms. You may need to use blood pressure medicine for the rest of your life.''Nadolol is only part of a complete program of treatment for hypertension that may also include diet, exercise, and weight control. Follow your diet, medication, and exercise routines very closely if you are being treated for hypertension.''Store at room temperature away from moisture, heat, and light. Keep the bottle tightly closed when not in use.''''What happens if I miss a dose?''Take the missed dose as soon as you remember. Skip the missed dose if your next dose is less than 8 hours away. Do not take extra medicine to make up the missed dose.''''"
What happens if I overdose? Nadolol,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''Overdose symptoms may include slow heart rate, extreme dizziness, or fainting.''''"
What should I avoid while taking nadolol? Nadolol,''nadolol may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert.''Drinking alcohol can further lower your blood pressure and may increase certain side effects of nadolol.''''
