Questions,Answer
What is Ocrevus?,"''Ocrevus (ocrelizumab) is a monoclonal antibody that affects the actions of the body's immune system. Monoclonal antibodies are made to target and destroy only certain cells in the body. This may help to protect healthy cells from damage.''Ocrevus is used to treat primary progressive multiple sclerosis and relapsing forms of multiple sclerosis in adults (including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease).''Ocrevus may also be used for purposes not listed in this medication guide.''"
Important information Ocrevus,"''Ocrevus may cause unpleasant side effects. Some side effects may occur during the injection or up to 24 hours later. Tell your caregiver if you feel dizzy, nauseated, itchy, or have chest tightness, trouble breathing, or swelling in your throat.''Ocrevus affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever, chills, cough, mouth sores, skin sores or blisters, itching, tingling, burning pain, or problems with speech, thought, vision, or muscle movement.''If you've ever had hepatitis B, it may become active or get worse while you are using or after you stop using ocrelizumab. You may need frequent liver function tests for several months.''"
Before taking this medicine Ocrevus,"''You should not be treated with Ocrevus if you are allergic to ocrelizumab, or if you have:''active infection with hepatitis B.''Your doctor may perform tests to make sure you do not have hepatitis B or other infections.''You should not receive any ""live"" or ""live-attenuated"" vaccine, within the 4 weeks before you start treatment with Ocrevus. If you need a ""non-live"" vaccine, you should receive it at least 2 weeks before you start treatment with ocrelizumab.''Also tell your doctor if:''you have any type of active infection;you are a carrier of hepatitis B; oryou have ever used medicine that can weaken your immune system.''Using Ocrevus may increase your risk of developing certain types of cancer, such as breast cancer. Ask your doctor about your specific risk.''It is not known whether Ocrevus will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant. Use effective birth control to prevent pregnancy while you are using this medicine and for at least 6 months after your last dose.''If you are pregnant, you will need to tell your baby's doctor if you used ocrelizumab during pregnancy, especially before the baby receives any childhood vaccines.''It may not be safe to breastfeed while using this medicine. Ask your doctor about any risk.''Ocrevus is not approved for use by anyone younger than 18 years old.''How is Ocrevus given?''Ocrevus is injected into a vein through an IV. A healthcare provider will give you this injection.''Before you start treatment with Ocrevus, your doctor may perform tests to make sure you do not have hepatitis B or other infections.''You may be given other medications to prevent certain side effects of ocrelizumab.''Your first dose will be split into 2 separate infusions. You will receive these infusions 2 weeks apart. The following doses will be given once every 6 months.''Ocrevus must be given slowly, and the infusion can take from 2.5 to 3.5 hours to complete.''You may be given other medications to help prevent serious side effects of ocrelizumab.''You will be watched closely for at least 1 hour after receiving Ocrevus, to make sure you do not have an allergic reaction to the medication.''Ocrelizumab affects your immune system. You may get infections more easily, even serious or fatal infections. Your doctor will need to examine you on a regular basis.''If you've ever had hepatitis B, this virus may become active or get worse during treatment with ocrelizumab or in the months after you stop using this medicine. You may need frequent liver function tests while using this medicine and for several months after your last dose.''"
Ocrevus dosing information,"''Usual Adult Dose for Multiple Sclerosis:''Initial dose: 300 mg IV followed 2 weeks later by a second 300 mg IV infusionMaintenance dose: 600 mg IV every 6 monthsManufacturer recommended infusion rates (consult manufacturer product information for more information):-Infusions 1 and 2 (300 mg of this drug in 250 mL 0.9% sodium chloride injection): Start at 30 mL/hr and increase by 30 mL/hr every 30 minutes to a maximum of 180 mL/hr; duration of 2.5 hours or longer-Subsequent infusions (600 mg of this drug in 500 mL 0.9% sodium chloride injection): Start at 40 mL/hr and increase by 40 mL/hr every 30 minutes to a maximum of 200 mL/hr; duration of 3.5 hours or longerComments:-The patient should be premedicated with methylprednisolone (or an equivalent corticosteroid) 100 mg IV approximately 30 minutes prior to each infusion and an antihistamine (e.g., diphenhydramine) approximately 30 to 60 minutes prior to each infusion; the addition of an antipyretic (e.g., acetaminophen) may also be considered.-The patient should be observed for at least one hour after the completion of the infusion.-If a planned infusion is missed, administer it as soon as possible; do not wait until the next scheduled dose. Reset the dose schedule to administer the next sequential dose 6 months after the missed dose is administered. Doses must be sep>ted by at least 5 months.Use: For the treatment of patients with relapsing or primary progressive forms of multiple sclerosis''''What happens if I miss a dose?''Call your doctor for instructions if you miss a dose of Ocrevus.''"
What happens if I overdose? Ocrevus,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''
What should I avoid while receiving Ocrevus?,"''Do not receive a ""live"" vaccine while using Ocrevus, or within 4 weeks before you start using this medicine. You could develop a serious infection. Live vaccines include measles, mumps, rubella (MMR), polio, rotavirus, typhoid, yellow fever, varicella (chickenpox), zoster (shingles), and nasal flu (influenza) vaccine.''Ask your doctor before getting a yearly flu shot while you are being treated with Ocrevus.''"
Ocrevus side effects,"''Get emergency medical help if you have signs of an allergic reaction to Ocrevus: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Some side effects may occur during the injection or up to 24 hours later. Tell your caregiver right away if you feel dizzy, sleepy, nauseated, light-headed, feverish, sweaty, itchy, or have a red skin rash, headache, fast heartbeats, chest tightness, trouble breathing, or swelling and irritation in your throat.''Call your doctor at once if you have:''fast heart beats, tiredness;headache, nausea, dizziness;itchy skin, rash, hives;fever, chills, cough;throat pain or irritation;wheezing, breathing problem, feeling short of breath;flushing (sudden warmth, redness, or tingly feeling);skin sores, blisters, pus, or oozing;cold sores or fever blisters on or around your lips;nerve pain (tingling, burning pain, ""pins and needles"" feeling);mood or behavior changes, confusion, memory problems;weakness on one side of your body; orproblems with vision, speech, or muscle movement.''Your treatments may be delayed or permanently discontinued if you have certain side effects.''Common Ocrevus side effects may include:''skin infections;reactions to an injection; orcold symptoms such as stuffy nose, sneezing, sore throat.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect Ocrevus?,"''Tell your doctor about all other medicines you have recently used to treat multiple sclerosis.''Other drugs may interact with ocrelizumab, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using.''''"
What is Ofev?,"''Ofev (nintedanib) is used in people with diseases that cause scar tissue (fibrosis) to form deep within the lungs. The scar tissue thickens and becomes stiff over time, which can make it harder for your lungs to work. Decreased lung function can make it hard for you to breathe. Other medical problems can occur when your brain, heart, and other organs do not get enough oxygen.''Ofev is used to treat a lung disease called idiopathic pulmonary fibrosis (IPF).''Ofev is also used to treat chronic (long lasting) interstitial lung disease in which the scar tissue keeps getting worse.''Ofev is also used to slow the decline in lung function in people with a disorder called systemic sclerosis-associated interstitial lung disease (sometimes called scleroderma-associated ILD).''Ofev is not a cure for IPF or ILD, but this medicine can slow the effects of these diseases on your lungs.''"
Important Information,"''Ofev can cause birth defects or death in an unborn baby. Avoid getting pregnant while you are using this medicine and for at least 3 months after your last dose. Use effective birth control, with an extra barrier method (condom, diaphragm, cervical cap, contraceptive sponge).''"
Before taking this medicine,"''To make sure Ofev is safe for you, tell your doctor if you have ever had:''liver disease;heart problems;a blood clot;bleeding problems (in you or a family member);surgery on your stomach or intestines;diverticulitis;if you smoke; orif you take a blood thinner such as warfarin (Coumadin, Jantoven).''You may need to have a negative pregnancy test before starting this treatment.''Nintedanib can cause birth defects or death in an unborn a baby. Use effective birth control to prevent pregnancy while you are using this medicine and for at least 3 months after your last dose. Tell your doctor if you become pregnant.''If you use hormonal birth control (birth control pills, injections, implants, skin patches, or vaginal rings), also use a barrier form of birth control to prevent pregnancy while taking Ofev. Barrier forms include a condom, diaphragm, cervical cap, or contraceptive sponge).''Ofev may affect fertility (your ability to have children) in women. However, it is important to use birth control to prevent pregnancy because this medicine can harm an unborn baby.''You should not breastfeed while using this medicine.''Ofev is not approved for use by anyone younger than 18 years old.''"
How should I take Ofev?,"''Ofev is usually taken 2 times per day, every 12 hours. Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.''Your doctor will perform blood tests to make sure you do not have conditions that would prevent you from safely using Ofev.''Take with food and a full glass of water.''Swallow the capsule whole and do not crush, chew, break, or open it.''Take your doses at regular intervals, usually every 12 hours.''Ofev can cause severe diarrhea, which can be life-threatening if it leads to dehydration. You may need to take medication to prevent or quickly treat diarrhea.''Your doctor may recommend you have an anti-diarrhea medicine such as loperamide (Imodium) available at all times while you are taking Ofev. Take the anti-diarrhea medicine as directed on the label, or as prescribed by your doctor.''Drink plenty of liquids and call your doctor at once if you have diarrhea while taking Ofev.''You will need frequent medical tests to be sure nintedanib is not causing harmful effects on your liver. Your next few doses may be delayed based on the results.''Store this medicine in the original container at room temperature, away from moisture and heat.''"
Ofev dosing information,''Usual Adult Dose for Idiopathic Pulmonary Fibrosis:''150 mg orally every 12 hoursMaximum dose: 300 mg/dayComments:-Conduct liver function tests prior to initiating therapy.-Conduct a pregnancy test in females of reproductive potential prior to initiating therapy.Uses:-For the treatment of idiopathic pulmonary fibrosis (IPF)-To slow the rate of decline in pulmonary function in patients with systemic sclerosis-associated interstitial lung disease (SSc-ILD)''Usual Adult Dose for Chronic Lung Disease:''150 mg orally every 12 hoursMaximum dose: 300 mg/dayComments:-Conduct liver function tests prior to initiating therapy.-Conduct a pregnancy test in females of reproductive potential prior to initiating therapy.Uses:-For the treatment of idiopathic pulmonary fibrosis (IPF)-To slow the rate of decline in pulmonary function in patients with systemic sclerosis-associated interstitial lung disease (SSc-ILD)''''What happens if I miss a dose?''Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time.''
What happens if I overdose?,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''Do not take more than 300 milligrams of nintedanib in one day.''
What should I avoid while taking Ofev?,"''Smoking can make Ofev less effective. Avoid smoking while taking this medicine, or try to quit before you start this treatment.''Avoid taking an herbal supplement containing St. John's wort.''Ask your doctor before taking a nonsteroidal anti-inflammatory drug (NSAID) such as aspirin, ibuprofen (Advil, Motrin), naproxen (Aleve), celecoxib (Celebrex), diclofenac, indomethacin, meloxicam, and others. Using an NSAID with nintedanib may cause you to bruise or bleed easily.''"
