Questions,Answer
What is pantoprazole? Pantoprazole,"''Pantoprazole is a proton pump inhibitor that decreases the amount of acid produced in the stomach.''Pantoprazole is used to treat erosive esophagitis (damage to the esophagus from stomach acid caused by gastroesophageal reflux disease, or GERD) in adults and children who are at least 5 years old. Pantoprazole is usually given for up to 8 weeks at a time while your esophagus heals.''Pantoprazole is also used to treat Zollinger-Ellison syndrome and other conditions involving excess stomach acid.''"
Important Information Pantoprazole,"''Pantoprazole is not for the immediate relief of heartburn symptoms.''Heartburn is often confused with the first symptoms of a heart attack. Seek emergency medical attention if you have chest pain or heavy feeling, pain spreading to the arm or shoulder, nausea, sweating, and a general ill feeling.''Long-term treatment with pantoprazole may also make it harder for your body to absorb vitamin B-12, resulting in a deficiency of this vitamin. Talk with your doctor if you need long-term pantoprazole treatment and you have concerns about vitamin B-12 deficiency.''Pantoprazole can cause kidney problems. Tell your doctor if you are urinating less than usual, or if you have blood in your urine.''Diarrhea may be a sign of a new infection. Call your doctor if you have diarrhea that is watery or has blood in it.''Pantoprazole may cause new or worsening symptoms of lupus. Tell your doctor if you have joint pain and a skin rash on your cheeks or arms that worsens in sunlight.''You may be more likely to have a broken bone while taking this medicine long term or more than once per day.''"
Before taking this medicine Pantoprazole,"''Heartburn can mimic early symptoms of a heart attack. Get emergency medical help if you have chest pain that spreads to your jaw or shoulder and you feel anxious or light-headed.''You should not use this medicine if:''you also take medicine that contains rilpivirine (Edurant, Complera, Juluca, Odefsey); oryou are allergic to pantoprazole or similar medicines (lansoprazole, omeprazole, Nexium, Prevacid, Prilosec, and others).''Tell your doctor if you have ever had:''low levels of magnesium in your blood;lupus; orosteoporosis or low bone mineral density.''You may be more likely to have a broken bone while using pantoprazole long-term or more than once per day. Talk with your doctor about ways to keep your bones healthy, especially if you are an adult over 50.''It is not known whether this medicine will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant.''You should not breast-feed while using this medicine.''Pantoprazole is not approved for use by anyone younger than 5 years old.''How should I use pantoprazole?''Take pantoprazole exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.''Use the lowest dose for the shortest amount of time needed to treat your condition.''Pantoprazole is taken by mouth (oral) or given as an infusion into a vein (injection). A healthcare provider may teach you how to properly use the injection by yourself.''Pantoprazole tablets are taken by mouth, with or without food. The oral granules should be taken 30 minutes before a meal.''Do not crush, chew, or break the tablet. Swallow it whole.''The oral granules should be mixed with applesauce or apple juice and given either by mouth or through a nasogastric (NG) tube.''Read and carefully follow any Instructions for Use provided with your medicine. Ask your doctor or pharmacist if you have any questions.''Use this medicine for the full prescribed length of time, even if your symptoms quickly improve.''Call your doctor if your symptoms do not improve or if they get worse while you are using this medicine.''Pantoprazole can cause false results with certain medical tests. Tell the doctor or laboratory staff that you are using this medicine.''Pantoprazole may also affect a drug-screening urine test and you may have false results. Tell the laboratory staff that you use this medicine.''Store this medicine at room temperature away from moisture, heat, and light.''"
Pantoprazole dosing information,"''Usual Adult Dose for Erosive Esophagitis:''Treatment of Erosive Esophagitis:40 mg orally once a day for up to 8 weeks; however an additional 8 weeks may be considered for patients who have not healed after the initial treatment. Safety and efficacy beyond 16 weeks of therapy have not been established.Maintenance of Healing of Erosive Esophagitis:40 mg orally once a day. Controlled studies have been limited to 12 months of pantoprazole therapy.''Usual Adult Dose for Gastroesophageal Reflux Disease:''Parenteral: 40 mg once a day for 7 to 10 days, administered via intravenous infusion over a period of 15 minutes. Intravenous therapy should be discontinued as soon as the patient is able to resume oral therapy.Oral: 40 mg orally once a day, for short-term administration (up to 8 weeks); however an additional 8 weeks may be considered for patients who have not healed after the initial treatment. Safety and efficacy beyond 16 weeks of therapy have not been established.''Usual Adult Dose for Duodenal Ulcer:''Study (n=54)40 mg orally once a day, dose was increased every 12 weeks by 40 mg increments to a maximum of 120 mg per day, for 28 weeks. Data have revealed that monotherapy with daily doses of 40 mg have been associated with complete duodenal ulcer healing in up to 87% and 94% of patients after 4 weeks and 8 weeks respectively.''Usual Adult Dose for Gastric Ulcer:''40 mg orally once a day. Data have revealed that monotherapy with daily doses of 40 mg have been associated with complete gastric ulcer healing in up to 87% and 97% of patients after 4 weeks and 8 weeks respectively.''Usual Adult Dose for Helicobacter pylori Infection:''Study (n=242) - Triple therapy:40 mg orally twice daily for 7 days, commonly in conjunction with clarithromycin and either amoxicillin or metronidazole to eradicate Helicobacter pylori, followed with 40 mg pantoprazole orally once daily until day 28. Triple therapy has resulted in eradication rates of greater than 95%.The QUADRATE Study (n=405) - Quadruple therapy:40 mg orally twice daily for 7 days, concomitantly with bismuth subcitrate and tetracycline, both four times daily, and metronidazole 200 mg three times daily and 400 mg at bedtime. Helicobacter Pylori eradication was achieved in 82% of patients.''Usual Adult Dose for Zollinger-Ellison Syndrome:''Parenteral: 80 mg every 12 hours, administered by 15-minute infusion. Daily doses higher than 240 mg administered in equally divided doses by 15-minute infusion, or administered for more than 6 days have not been studied.Oral: 40 mg twice daily, to a maximum of 240 mg per day. Some patients have received treatment with pantoprazole for more than 2 years.''Usual Adult Dose for Stress Ulcer Prophylaxis:''Study (n=21) - Stress Ulcer bleeding prophylaxis in the Critical Care Setting:80 mg twice daily, as a bolus infusion over a period of 15 minutes, to a maximum daily dose of 240 mg, divided into three equal doses.Study (n=20 ) - Peptic Ulcer rebleeding prophylaxis after hemostasis in the Critical Care Setting:80 mg IV bolus, followed by continuous infusion of 8 mg/hr for 3 days, after which therapy may be continued with an oral PPI.''Usual Adult Dose for Peptic Ulcer:''Study (n=21) - Stress Ulcer bleeding prophylaxis in the Critical Care Setting:80 mg twice daily, as a bolus infusion over a period of 15 minutes, to a maximum daily dose of 240 mg, divided into three equal doses.Study (n=20 ) - Peptic Ulcer rebleeding prophylaxis after hemostasis in the Critical Care Setting:80 mg IV bolus, followed by continuous infusion of 8 mg/hr for 3 days, after which therapy may be continued with an oral PPI.''''What happens if I miss a dose?''Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time.''"
What happens if I overdose? Pantoprazole,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''
What should I avoid while using pantoprazole? Pantoprazole,"''This medicine can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor. Do not use anti-diarrhea medicine unless your doctor tells you to.''"
Pantoprazole side effects,"''Get emergency medical help if you have signs of an allergic reaction to pantoprazole: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''severe stomach pain, diarrhea that is watery or bloody;sudden pain or trouble moving your hip, wrist, or back;bruising or swelling where intravenous pantoprazole was injected;kidney problems - urinating less than usual, blood in your urine, swelling, rapid weight gain;low magnesium - dizziness, fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling; ornew or worsening symptoms of lupus - joint pain, and a skin rash on your cheeks or arms that worsens in sunlight.''Taking pantoprazole long-term may cause you to develop stomach growths called fundic gland polyps. Talk with your doctor about this risk.''If you use pantoprazole for longer than 3 years, you could develop a vitamin B-12 deficiency. Talk to your doctor about how to manage this condition if you develop it.''Common pantoprazole side effects may include:''headache, dizziness;stomach pain, gas, nausea, vomiting, diarrhea;joint pain; orfever, rash, or cold symptoms (most common in children).''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect pantoprazole? Pantoprazole,"''Tell your doctor about all your other medicines. Some may interact with pantoprazole, especially:''digoxin;methotrexate; ora diuretic or ""water pill.""''This list is not complete. Other drugs may affect pantoprazole, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here.''''"
What is paracetamol ? Paracetamol,"''Paracetamol (acetaminophen) is a pain reliever and a fever reducer. The exact mechanism of action of is not known.''Paracetamol is used to treat many conditions such as headache, muscle aches, arthritis, backache, toothaches, colds, and fevers. It relieves pain in mild arthritis but has no effect on the underlying inflammation and swelling of the joint.''Paracetamol may also be used for other purposes not listed in this medication guide.''"
Important information Paracetamol,"''There are many brands and forms of paracetamol available and not all brands are listed on this leaflet.''Do not use more of this medication than is recommended. An overdose of paracetamol can cause serious harm. The maximum amount of paracetamol for adults is 1 gram (1000 mg) per dose and 4 grams (4000 mg) per day. Taking more paracetamol could cause damage to your liver. If you drink more than three alcoholic beverages per day, talk to your doctor before taking paracetamol and never use more than 2 grams (2000 mg) per day.''Do not use this medication without first talking to your doctor if you drink more than three alcoholic beverages per day or if you have had alcoholic liver disease (cirrhosis). You may not be able to use paracetamol .''Before using paracetamol , tell your doctor if you have liver disease or a history of alcoholism.''Do not use any other over-the-counter cough, cold, allergy, or pain medication without first asking your doctor or pharmacist. Paracetamol is contained in many combination medicines. If you use certain products together you may accidentally use too much paracetamol . Read the label of any other medicine you are using to see if it contains paracetamol, acetaminophen or APAP. Avoid drinking alcohol while taking this medication. Alcohol may increase your risk of liver damage while taking paracetamol .''"
Before taking this medicine Paracetamol,"''Do not use this medication if you are allergic to acetaminophen or paracetamol.''Ask a doctor or pharmacist if it is safe for you to take paracetamol if you have:''liver disease; ora history of alcoholism;''It is not known whether paracetamol will harm an unborn baby. Before using paracetamol , tell your doctor if you are pregnant. This medication can pass into breast milk and may harm a nursing baby. Do not use paracetamol without telling your doctor if you are breast-feeding a baby.''How should I use paracetamol ?''Use paracetamol exactly as directed on the label, or as prescribed by your doctor.''Do not use more of this medication than is recommended. An overdose of paracetamol can cause serious harm. The maximum amount for adults is 1 gram (1000 mg) per dose and 4 grams (4000 mg) per day. Using more paracetamol could cause damage to your liver. If you drink more than three alcoholic beverages per day, talk to your doctor before taking paracetamol and never use more than 2 grams (2000 mg) per day. If you are treating a child, use a pediatric form of paracetamol . Carefully follow the dosing directions on the medicine label. Do not give the medication to a child younger than 2 years old without the advice of a doctor.''Measure the liquid form of paracetamol with a special dose-measuring spoon or cup, not a regular table spoon. If you do not have a dose-measuring device, ask your pharmacist for one. You may need to shake the liquid before each use. Follow the directions on the medicine label.''The paracetamol chewable tablet must be chewed thoroughly before you swallow it.''Make sure your hands are dry when handling the paracetamol disintegrating tablet. Place the tablet on your tongue. It will begin to dissolve right away. Do not swallow the tablet whole. Allow it to dissolve in your mouth without chewing.''To use the paracetamol effervescent granules, dissolve one packet of the granules in at least 4 ounces of water. Stir this mixture and drink all of it right away. To make sure you get the entire dose, add a little more water to the same glass, swirl gently and drink right away.''Do not take a paracetamol rectal suppository by mouth. It is for use only in your rectum. Wash your hands before and after inserting the suppository.''Try to empty your bowel and bladder just before using the paracetamol suppository. Remove the outer wrapper from the suppository before inserting it. Avoid handling the suppository too long or it will melt in your hands.''For best results from the suppository, lie down and insert the suppository pointed tip first into the rectum. Hold in the suppository for a few minutes. It will melt quickly once inserted and you should feel little or no discomfort while holding it in. Avoid using the bathroom just after inserting the suppository.''Stop using paracetamol and call your doctor if:''you still have a fever after 3 days of use;you still have pain after 7 days of use (or 5 days if treating a child);you have a skin rash, ongoing headache, or any redness or swelling; orif your symptoms get worse, or if you have any new symptoms.''Urine glucose tests may produce false results while you are taking paracetamol . Talk to your doctor if you are diabetic and you notice changes in your glucose levels during treatment.''Store paracetamol at room temperature away from heat and moisture. The rectal suppositories can be stored at room temperature or in the refrigerator.''''What happens if I miss a dose?''Since paracetamol is often used only when needed, you may not be on a dosing schedule. If you are using the medication regularly, use the missed dose as soon as you remember. If it is almost time for your next regularly scheduled dose, skip the missed dose and use your next dose as directed. Do not use extra medicine to make up for a missed dose.''"
What happens if I overdose? Paracetamol,"''Seek emergency medical attention if you think you have used too much of this medicine.''The first signs of an paracetamol overdose include loss of appetite, nausea, vomiting, stomach pain, sweating, and confusion or weakness. Later symptoms may include pain in your upper stomach, dark urine, and yellowing of your skin or the whites of your eyes.''"
What should I avoid? Paracetamol,"''Do not use any other over-the-counter cough, cold, allergy, or pain medication without first asking your doctor or pharmacist. Paracetamol is contained in many combination medicines. If you use certain products together you may accidentally use too much paracetamol . Read the label of any other medicine you are using to see if it contains paracetamol, acetaminophen or APAP. Avoid drinking alcohol while taking this medication. Alcohol may increase your risk of liver damage while taking paracetamol .''"
Paracetamol side effects,"''Get emergency medical help if you have any of these signs of an allergic reaction to paracetamol: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using this medication and call your doctor at once if you have a serious side effect such as:''low fever with nausea, stomach pain, and loss of appetite;dark urine, clay-colored stools; orjaundice (yellowing of the skin or eyes).''This is not a complete list of paracetamol side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
Paracetamol dosing information,''Usual Adult Paracetamol Dose for Fever:''General Dosing Guidelines: 325 to 650 mg every 4 to 6 hours or 1000 mg every 6 to 8 hours orally or rectally.Paracetamol 500mg tablets: Two 500 mg tablets orally every 4 to 6 hours''Usual Adult Paracetamol Dose for Pain:''General Dosing Guidelines: 325 to 650 mg every 4 to 6 hours or 1000 mg every 6 to 8 hours orally or rectally.Paracetamol 500mg tablets: Two 500 mg tablets orally every 4 to 6 hours''Usual Pediatric Dose for Fever:''Oral or Rectal:<=1 month: 10 to 15 mg/kg/dose every 6 to 8 hours as needed.>1 month to 12 years: 10 to 15 mg/kg/dose every 4 to 6 hours as needed (Maximum: 5 doses in 24 hours)Fever: 4 months to 9 years: Initial Dose: 30 mg/kg (Reported by one study (n=121) to be more effective in reducing fever than a 15 mg/kg maintenance dose with no difference regarding clinical tolerance.)>=12 years: 325 to 650 mg every 4 to 6 hours or 1000 mg every 6 to 8 hours.''Usual Pediatric Dose for Pain:''Oral or Rectal:<=1 month: 10 to 15 mg/kg/dose every 6 to 8 hours as needed.>1 month to 12 years: 10 to 15 mg/kg/dose every 4 to 6 hours as needed (Maximum: 5 doses in 24 hours)Fever: 4 months to 9 years: Initial Dose: 30 mg/kg (Reported by one study (n=121) to be more effective in reducing fever than a 15 mg/kg maintenance dose with no difference regarding clinical tolerance.)>=12 years: 325 to 650 mg every 4 to 6 hours or 1000 mg every 6 to 8 hours.''
What other drugs will affect paracetamol ? Paracetamol,"''There may be other drugs that can interact with paracetamol . Tell your doctor about all your prescription and over-the-counter medications, vitamins, minerals, herbal products, and drugs prescribed by other doctors. Do not start a new medication without telling your doctor.''''"
