Questions,Answer
What is  Qbrelis?,"''Qbrelis is an ACE inhibitor that is used to treat high blood pressure (hypertension) in adults and children who are at least 6 years old.''Qbrelis is also used to treat congestive heart failure in adults, or to improve survival after a heart attack.''Qbrelis may also be used for purposes not listed in this medication guide.''''"
Important Information,"''Do not use if you are pregnant, and tell your doctor right away if you become pregnant.''If you have diabetes, do not use Qbrelis together with any medication that contains aliskiren (a blood pressure medicine).''Do not take Qbrelis within 36 hours before or after taking medicine that contains sacubitril (such as Entresto).''''"
Before taking this medicine,"''You should not use Qbrelis if you are allergic to it, or if you:''have a history of angioedema;recently took a heart medicine called sacubitril; orare allergic to any other ACE inhibitor, such as benazepril, captopril, enalapril, fosinopril, moexipril, perindopril, quinapril, ramipril, or trandolapril.''Do not take Qbrelis within 36 hours before or after taking medicine that contains sacubitril (such as Entresto).''If you have diabetes, do not use Qbrelis together with any medication that contains aliskiren (a blood pressure medicine).''You may also need to avoid taking Qbrelis with aliskiren if you have kidney disease.''Tell your doctor if you have ever had:''kidney disease (or if you are on dialysis);liver disease; orhigh levels of potassium in your blood.''Do not use if you are pregnant, and tell your doctor right away if you become pregnant. Qbrelis can cause injury or death to the unborn baby if you take the medicine during your second or third trimester.''You should not breastfeed while using  Qbrelis.''''"
How should I take  Qbrelis?,"''Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.''Drink plenty of water each day while you are taking this medicine.''Qbrelis can be taken with or without food.''Measure liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).''Your blood pressure will need to be checked often. Your kidney function and electrolytes may also need to be checked.''Call your doctor if you are sick with vomiting or diarrhea, or if you are sweating more than usual. You can easily become dehydrated while taking Qbrelis. This can lead to very low blood pressure, a serious electrolyte imbalance, or kidney failure.''If you need surgery, tell the surgeon ahead of time that you are using Qbrelis.''If you have high blood pressure, keep using this medicine even if you feel well. High blood pressure often has no symptoms. You may need to use blood pressure medicine for the rest of your life.''Store at room temperature away from moisture and heat. Do not freeze the oral liquid.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''''"
What happens if I overdose?,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
What should I avoid while taking  Qbrelis?,"''Drinking alcohol can further lower your blood pressure and may increase certain side effects of lisinopril.''Avoid becoming overheated or dehydrated during exercise, in hot weather, or by not drinking enough fluids. Qbrelis can decrease sweating and you may be more prone to heat stroke.''Do not use potassium supplements or salt substitutes, unless your doctor has told you to.''Avoid getting up too fast from a sitting or lying position, or you may feel dizzy.''''"
 Qbrelis side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; severe stomach pain; difficulty breathing; swelling of your face, lips, tongue, or throat. You may be more likely to have an allergic reaction if you are African-American.''Call your doctor at once if you have:''a light-headed feeling, like you might pass out;fever, sore throat;high potassium--nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement;kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; orliver problems--nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).''Common side effects may include:''headache, dizziness;cough; orchest pain.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect  Qbrelis?,"''Tell your doctor about all your other medicines, especially:''a diuretic or ""water pill"";lithium;gold injections to treat arthritis;insulin or oral diabetes medicine;a potassium supplement;medicine to prevent organ transplant rejection--everolimus, sirolimus, tacrolimus, temsirolimus; orNSAIDs (nonsteroidal anti-inflammatory drugs)--aspirin, ibuprofen (Advil, Motrin), naproxen (Aleve), celecoxib, diclofenac, indomethacin, meloxicam, and others.''This list is not complete. Other drugs may affect Qbrelis, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here.''''"
What is Qdolo?,"''Qdolo is:''A strong prescription pain medicine that contains an opioid (narcotic) that is used for the management of pain in adults, when other pain treatments such as non-opioid pain medicines do not treat your pain well enough or you cannot tolerate them.An opioid pain medicine that can put you at risk for overdose and death. Even if you take your dose correctly as prescribed you are at risk for opioid addiction, abuse, and misuse that can lead to death.''"
Important information,"''Get emergency help right away if you take too much Qdolo (overdose). When you first start taking Qdolo, when your dose is changed, or if you take too much (overdose), serious or life-threatening breathing problems that can lead to death may occur.Taking Qdolo with other opioid medicines, benzodiazepines, alcohol, or other central nervous system depressants (including street drugs) can cause severe drowsiness, decreased awareness, breathing problems, coma, and death.Never give anyone else your Qdolo. They could die from taking it. Selling or giving away Qdolo is against the law.Store Qdolo securely, out of sight and reach of children, and in a location not accessible by others, including visitors to the home.''Important Information Guiding Use in Pediatric Patients:''Do not give Qdolo to a child younger than 12 years of age.Do not give Qdolo to anyone younger than 18 years of age after surgery to remove the tonsils, adenoids, or both.Avoid giving Qdolo to children between 12 to 18 years of age who have risk factors for breathing problems such as obstructive sleep apnea, obesity, or underlying lung problems.''Who should not take Qdolo?''Do not take Qdolo if you have:''Severe asthma, trouble breathing, or other lung problems.A bowel blockage or have narrowing of the stomach or intestines.An allergy to tramadolTaken a Monoamine Oxidase Inhibitor, MAOI, (medicine used for depression) within the last 14 days.''"
Before taking Qdolo,"''Before taking Qdolo, tell your healthcare provider if you have a history of:''head injury, seizuresproblems urinatingliver, kidney, thyroid problemspancreas or gallbladder problemsabuse of street or prescription drugs, alcohol addiction, or mental health problems.''Tell your healthcare provider if you are:''pregnant or planning to become pregnant. Prolonged use of Qdolo during pregnancy can cause withdrawal symptoms in your newborn baby that could be life-threatening if not recognized and treated.breastfeeding. Not recommended; it may harm your baby.taking prescription or over-the-counter medicines, vitamins, or herbal supplements. Taking Qdolo with certain other medicines can cause serious side effects that could lead to death.''"
How should I take Qdolo?,"''When taking Qdolo:''Do not change your dose. Take Qdolo exactly as prescribed by your healthcare provider. Use the lowest dose possible for the shortest time needed.Always use a calibrated oral syringe or other oral dosing device obtained from your doctor or pharmacist to correctly measure your dose. Never use a household teaspoon or tablespoon to measure Qdolo.Take your prescribed dose as indicated by your healthcare provider. The maximum dosage is 10 mL to 20 mL every 4 to 6 hours, as needed for pain relief. Do not take more than your prescribed dose and do not take more than 80 mL per day. If you miss a dose, take your next dose at your usual time.Call your healthcare provider if the dose you are taking does not control your pain.If you have been taking Qdolo regularly, do not stop taking Qdolo without talking to your healthcare provider.Dispose of expired, unwanted, or unused Qdolo by taking your drug to an authorized Drug Enforcement Administration (DEA)-registered collector or drug take-back program. If one is not available, you can dispose of Qdolo by mixing Qdolo with dirt, cat litter, or used coffee grounds; placing the mixture in a container such as a sealed plastic bag; and throwing the container in the household trash.''While taking Qdolo DO NOT:''Drive or operate heavy machinery, until you know how Qdolo affects you. Qdolo can make you sleepy, dizzy, or lightheaded.Drink alcohol or use prescription or over-the-counter medicines that contain alcohol. Using products containing alcohol during treatment with Qdolo may cause you to overdose and die.''"
