Questions,Answer
What is rabeprazole? Rabeprazole,"''Rabeprazole is a proton pump inhibitor that decreases the amount of acid produced in the stomach.''Rabeprazole is used short-term to treat symptoms of gastroesophageal reflux disease (GERD) in adults and children who are at least 1 year old.''Rabeprazole is used only in adults to treat conditions involving excessive stomach acid, such as Zollinger-Ellison syndrome. Rabeprazole is also used in adults to promote healing of duodenal ulcers or erosive esophagitis (damage to your esophagus caused by stomach acid).''Rabeprazole may also be given with an antibiotic to prevent duodenal ulcer caused by infection with Helicobacter pylori (H. pylori).''Rabeprazole is not for immediate relief of heartburn symptoms.''Rabeprazole may also be used for purposes not listed in this medication guide.''''"
Important Information Rabeprazole,"''Rabeprazole can cause kidney problems. Tell your doctor if you are urinating less than usual, or if you have blood in your urine.''Diarrhea may be a sign of a new infection. Call your doctor if you have diarrhea that is watery or has blood in it.''Rabeprazole may cause new or worsening symptoms of lupus. Tell your doctor if you have joint pain and a skin rash on your cheeks or arms that worsens in sunlight.''You may be more likely to have a broken bone while taking  rabeprazole long term or more than once per day.''''"
Before taking this medicine Rabeprazole,"''Heartburn can mimic early symptoms of a heart attack. Get emergency medical help if you have chest pain that spreads to your jaw or shoulder and you feel anxious or light-headed.''You should not use this medicine if you are allergic to rabeprazole or:''if you also take any medicine that contains rilpivirine, such as Edurant or Complera; orif you are also allergic to medicines like rabeprazole, such as esomeprazole, lansoprazole, omeprazole, pantoprazole , Nexium, Prevacid, Prilosec, Protonix, and others.''Tell your doctor if you have ever had:''liver disease;osteoporosis or low bone mineral density (osteopenia);lupus (an autoimmune disorder); orlow levels of magnesium in your blood.''You may be more likely to have a broken bone in your hip, wrist, or spine while taking a proton pump inhibitor long-term or more than once per day. Talk with your doctor about ways to keep your bones healthy.''It is not known whether this medicine will harm an unborn baby. Tell your doctor if you are pregnant.''It may not be safe to breast-feed while using this medicine. Ask your doctor about any risk.''Do not give this medicine to a child without medical advice. Certain forms and strengths of rabeprazole should not be given to a child younger than 12 years old.''''"
How should I take rabeprazole? Rabeprazole,"''Rabeprazole is usually taken once per day. Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.''Rabeprazole is for short-term use only, usually 4 to 8 weeks. Your doctor may recommend a second course of treatment if you need additional healing time.''AcipHex Sprinkle should not be given to a child younger than 1 year old.''Take  rabeprazole with a full glass of water.''If you take rabeprazole to treat duodenal ulcers, take the medicine after a meal. If you take rabeprazole to prevent ulcers caused by Helicobacter pylori, take the medicine with food. If you take rabeprazole for any other condition, you may take the medicine with or without food.''Read and carefully follow any Instructions for Use provided with your medicine. Ask your doctor or pharmacist if you do not understand these instructions.''Swallow the tablet whole and do not crush, chew, or break it.''Do not swallow a delayed-release capsule (AcipHex Sprinkle) whole. Open it and sprinkle the medicine into a spoonful of soft food such as applesauce, yogurt, or baby food made from fruit or vegetable. You may also mix the medicine with apple juice, Pedialyte, or infant formula. Swallow the mixture right away without chewing. Do not save it for later use.''This medicine can affect the results of certain medical tests. Tell any doctor who treats you that you are using rabeprazole.''Some conditions are treated with a combination of rabeprazole and antibiotics. Use all medications as directed.''Take your medicines for the full prescribed length of time, even if your symptoms quickly improve.''Call your doctor if your symptoms do not improve, or if they get worse while using rabeprazole.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''''"
What happens if I overdose? Rabeprazole,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
What should I avoid while taking rabeprazole? Rabeprazole,"''rabeprazole can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor before using anti-diarrhea medicine.''''"
Rabeprazole side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''severe stomach pain, diarrhea that is watery or bloody;sudden pain or trouble moving your hip, wrist, or back;seizure (convulsions);kidney problems--urinating less than usual, blood in your urine, swelling, rapid weight gain;new or worsening symptoms of lupus--joint pain, and a skin rash on your cheeks or arms that worsens in sunlight;low magnesium--dizziness, fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling; orsigns of bleeding (if you also take warfarin)--headaches, dizziness, weakness; pain or swelling; bruising, unusual bleeding (nosebleeds, bleeding gums); red or pink urine; heavy menstrual flow; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; or any bleeding that will not stop.''Taking rabeprazole long-term may cause you to develop stomach growths called fundic gland polyps. Talk with your doctor about this risk.''If you use rabeprazole for longer than 3 years, you could develop a vitamin B-12 deficiency. Talk to your doctor about how to manage this condition if you develop it.''Common side effects may include:''headache;nausea, vomiting;diarrhea, constipation; orstomach pain.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is raloxifene? Raloxifene,''Raloxifene is used to treat osteoporosis in postmenopausal women.''Raloxifene is not for use in men.''Raloxifene may also be used for purposes not listed in this medication guide.''''
Important Information Raloxifene,"''raloxifene may increase your risk of a blood clot in your leg, your lung, or your eye. You should not take raloxifene if you have ever had this type of blood clot.''Raloxifene can also increase your risk of a stroke, which can be fatal. This risk is highest if you have certain risk factors (such as smoking, having heart problems or high blood pressure, or if you have ever had a heart attack or a stroke).''Although this medicine is for use only in postmenopausal women, you should not take raloxifene if you are pregnant or breastfeeding.''''"
Before taking this medicine Raloxifene,"''This medicine may increase your risk of a blood clot in your leg, your lung, or your eye. You should not take raloxifene if you have ever had this type of blood clot.''This medicine is for use only in women who can no longer get pregnant. Raloxifene can harm an unborn baby. Do not use if you are pregnant or may become pregnant.''Do not breastfeed while taking raloxifene.''Raloxifene can increase your risk of a stroke, which can be fatal. Tell your doctor if you have ever had:''heart problems, irregular heartbeats;a heart attack or stroke, including ""mini-stroke"";high blood pressure;cancer; orif you smoke.''Tell your doctor if you have ever had:''a blood clot;high triglycerides caused by using estrogen;liver or kidney disease;endometriosis;abnormal vaginal bleeding; orif you have not gone through menopause.''''"
How should I take raloxifene? Raloxifene,"''Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.''Take the medicine at the same time each day, with or without food.''If you need major surgery or will be on long-term bed rest, you will need to stop taking raloxifene at least 3 days ahead of time. You may not be able to restart the medicine until you are active again. Tell any doctor or surgeon who treats you that you take raloxifene.''Raloxifene is only part of a complete program of treatment that may also include diet changes, exercise, bone mineral density testing, and taking calcium and vitamin D supplements. Follow your doctor's instructions very closely.''Your doctor should check your progress on a regular basis. Self-examine your breasts for lumps on a monthly basis, and have regular mammograms.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''Get your prescription refilled before you run out of medicine completely.''''"
What happens if I overdose? Raloxifene,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
