Questions,Answer
What is saw palmetto? Saw Palmetto,"''Saw palmetto comes from a palm-like plant that grows in the southeast United States. The berries of this plant are used to make the capsule form of saw palmetto. Saw palmetto is also known as American Dwarf Palm Tree, Baies du Palmier Scie, Cabbage Palm, Chou Palmiste, Ju-Zhong, Palma Enana Americana, Palmier Nain, Palmier Scie, Sabal, Serenoa, and other names.''Saw palmetto blocks certain effects of certain hormones in the body and also has some anti-inflammatory actions.''Saw palmetto has been used in alternative medicine as a possibly effective aid in preventing complications from prostate surgery (such as blood loss or problems during surgery) and reducing the time spent in surgery and in the hospital after surgery.''Saw palmetto has been used to treat symptoms of enlarged prostate (benign prostatic hypertrophy, or BPH), such as increased night-time urination or decreased urinary flow. However, research has shown that saw palmetto may not be effective in treating this condition.''Other uses not proven with research have included treating sore throat, cough, cold symptoms, asthma, bronchitis, migraine headache, male-pattern baldness, chronic pelvic pain and prostate swelling, bladder problems, prostate cancer, and other conditions.''It is not certain whether saw palmetto is effective in treating any medical condition. Medicinal use of this product has not been approved by the FDA. Saw palmetto should not be used in place of medication prescribed for you by your doctor.''Saw palmetto is often sold as an herbal supplement. There are no regulated manufacturing standards in place for many herbal compounds and some marketed supplements have been found to be contaminated with toxic metals or other drugs. Herbal/health supplements should be purchased from a reliable source to minimize the risk of contamination.''Saw palmetto may also be used for other purposes not listed in this product guide.''''"
Important Information Saw Palmetto,"''Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.''''"
Before taking this medicine Saw Palmetto,"''Before using saw palmetto, talk to your healthcare provider. You may not be able to use saw palmetto if you have certain medical conditions., such as:''a bleeding or blood clotting disorder (such as hemophilia);liver disease; ora pancreas disorder.''Saw palmetto is a hormone and is not likely to be safe to use during pregnancy. Do not use saw palmetto if you are pregnant.''Saw palmetto can make birth control pills less effective. Ask your doctor about using non hormonal birth control (condom, diaphragm with spermicide) to prevent pregnancy.''Saw palmetto may pass into breast milk and may harm a nursing baby. Do not use this product without medical advice if you are breast-feeding a baby.''Do not give any herbal/health supplement to a child without medical advice.''''"
How should I take saw palmetto? Saw Palmetto,"''When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.''If you choose to use saw palmetto, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.''Saw palmetto may be taken with food if it upsets your stomach.''Do not use different forms (capsules, tablets, tinctures, topical forms, etc) of saw palmetto at the same time without medical advice. Using different formulations together increases the risk of an overdose.''Saw palmetto can affect blood-clotting and may increase your risk of bleeding. If you need surgery, dental work, or a medical procedure, stop taking saw palmetto at least 2 weeks ahead of time.''Call your doctor if the condition you are treating with saw palmetto does not improve, or if it gets worse while using this product.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra saw palmetto to make up the missed dose.''''"
What happens if I overdose? Saw Palmetto,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
What should I avoid while taking saw palmetto? Saw Palmetto,"''Avoid using saw palmetto together with other herbal/health supplements that can also affect blood-clotting. This includes angelica (dong quai), capsicum, clove, danshen, garlic, ginger, ginkgo, horse chestnut, panax ginseng, poplar, red clover, turmeric, vitamin E, and willow.''''"
Saw palmetto side effects Saw Palmetto,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.''Although not all side effects are known, saw palmetto is thought to be likely safe for most people.''Stop using saw palmetto and call your healthcare provider at once if you have:''easy bruising or bleeding (nosebleeds, bleeding gums);any bleeding that will not stop;signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;pancreas problems--severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate; orliver problems--nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).''Common side effects may include:''nausea, vomiting, diarrhea, constipation;headache, dizziness; orimpotence, sexual problems.''This is not a complete list of side effects and others may occur. Tell your doctor, pharmacist, herbalist, or other healthcare provider about any unusual or bothersome side effect. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is Saxenda?,"''Saxenda (liraglutide) is similar to a hormone that occurs naturally in the body and helps control blood sugar, insulin levels, and digestion.''Saxenda is an injectable prescription medicine that may help some obese adults or overweight adults who also have weight-related medical problems, and children aged 12 to 17 years with a body weight above 132 pounds (60 kg) and obesity, to lose weight and keep the weight off. It is used together with diet and exercise.''Saxenda is not for treating type 1 or type 2 diabetes. Saxenda is not a weight-loss medicine or appetite suppressant.''"
Important information Saxenda,"''The Victoza brand of liraglutide is used together with diet and exercise to treat type 2 diabetes. Do not use Saxenda and Victoza together.''You should not use Saxenda if you have multiple endocrine neoplasia type 2 (tumors in your glands), a personal or family history of medullary thyroid cancer, insulin-dependent diabetes, diabetic ketoacidosis, or are pregnant.''In animal studies, liraglutide caused thyroid tumors or thyroid cancer. It is not known whether these effects would occur in people using regular doses.''Call your doctor at once if you have signs of a thyroid tumor, such as swelling or a lump in your neck, trouble swallowing, a hoarse voice, or shortness of breath.''Before using Saxenda''You should not use Saxenda if you are allergic to liraglutide, or if you have:''multiple endocrine neoplasia type 2 (tumors in your glands);a personal or family history of medullary thyroid carcinoma (a type of thyroid cancer); ordiabetic ketoacidosis (call your doctor for treatment).''You should not use Saxenda if you also use insulin or other medicines like liraglutide (albiglutide, dulaglutide, exenatide, Byetta, Bydureon, Tanzeum, Trulicity).''To make sure Saxenda is safe for you, tell your doctor if you have:''stomach problems causing slow digestion;kidney or liver disease;high triglycerides (a type of fat in the blood);heart problems;a history of problems with your pancreas or gallbladder; ora history of depression or suicidal thoughts.''In animal studies, liraglutide caused thyroid tumors or thyroid cancer. It is not known whether these effects would occur in people using regular doses. Ask your doctor about your risk.''It is not known whether Saxenda will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant.''It is not known whether liraglutide passes into breast milk or if it could affect the nursing baby. Tell your doctor if you are breast-feeding.''Saxenda is not FDA-approved for use by anyone younger than 18 years old.''How should I use Saxenda?''Saxenda is usually given once per day. Follow all directions on your prescription label. Your doctor may occasionally change your dose. Do not use this medicine in larger or smaller amounts or for longer than recommended.''Do not use Saxenda and Victoza together. These two brands contain the same active ingredient but they should not be used together.''Read all patient information, medication guides, and instruction sheets provided to you. Ask your doctor or pharmacist if you have any questions.''Saxenda is injected under the skin at any time of the day, with or without a meal. You will be shown how to use injections at home. Do not self-inject this medicine if you do not understand how to give the injection and properly dispose of used needles and syringes.''Saxenda comes in a prefilled injection pen. Ask your pharmacist which type of needles are best to use with your pen.''Your care provider will show you the best places on your body to inject Saxenda. Use a different place each time you give an injection. Do not inject into the same place two times in a row.''Do not use Saxenda if it has changed colors or if it has particles in it. Call your pharmacist for new medicine.''Also watch for signs of high blood sugar (hyperglycemia) such as increased thirst or urination, blurred vision, headache, and tiredness.''Blood sugar levels can be affected by stress, illness, surgery, exercise, alcohol use, or skipping meals. Ask your doctor before changing your dose or medication schedule.''Use a disposable needle only once. Follow any state or local laws about throwing away used needles and syringes. Use a puncture-proof ""sharps"" disposal container (ask your pharmacist where to get one and how to throw it away). Keep this container out of the reach of children and pets.''Saxenda is only part of a complete treatment program that may also include diet, exercise, weight control, regular blood sugar testing, and special medical care. Follow your doctor's instructions very closely.''Storing unopened injection pens: Store in the refrigerator. Do not freeze Saxenda, and throw away the medication if it has become frozen. Do not use an unopened injection pen if the expiration date on the label has passed.''Storing after your first use: You may keep ""in-use"" injection pens in the refrigerator or at room temperature. Protect the pens from moisture, heat, and sunlight. Use within 30 days. Remove the needle before storing an injection pen, and keep the cap on the pen when not in use.''"
Saxenda dosing information,"''Usual Adult Dose of Saxenda for Weight Loss:''Dose escalation should be followed to reduce the likelihood of gastrointestinal symptoms; dose escalation may be delayed by 1 additional week if necessary:Week 1: Inject 0.6 mg subcutaneously once a dayWeek 2: Inject 1.2 mg subcutaneously once a dayWeek 3: Inject 1.8 mg subcutaneously once a dayWeek 4: Inject 2.4 mg subcutaneously once a dayWeek 5: Inject 3 mg subcutaneously once a dayMaintenance dose: 3 mg subcutaneously once a dayComments:-Consider dose reduction of the insulin secretagogue to reduce the risk of hypoglycemia; conversely when discontinuing use in a patient with type 2 diabetes, monitor for an increase in blood glucose.-If a dose of 3 mg once daily is not tolerated, discontinuation is recommended; efficacy for chronic weight management has not been established at lower doses.-Evaluate weight loss at 16 weeks; if at least 4% of body weight has not been lost, it is unlikely the patient will achieve and sustain clinically meaningful weight loss with continued treatment.Use: In adult patients with an initial BMI of 30 kg/m2 or greater (obese) or an initial BMI of 27 kg/m2 (overweight) or greater in the presence of at least 1 weight-related comorbid condition (e.g., hypertension, type 2 diabetes mellitus, or dyslipidemia), this drug is indicated as an adjunct to a reduced-calorie diet and increased physical activity for chronic weight management.BMI=Body Mass Index is calculated by dividing weight in kilograms by height in meters squared. Charts are available for determining BMI based on height and weight, including a chart in Saxenda product labeling.''''What happens if I miss a dose?''If you miss your daily dose of Saxenda, use the dose as soon as you remember. Then take your next daily dose as usual on the following day. Do not take an extra dose of Saxenda or increase your dose on the following day to make up for your missed dose.''If you miss your dose of Saxenda for 3 days or more, call your healthcare provider to talk about how to restart your treatment.''"
