Questions,Answer
What is tadalafil? Tadalafil,"''Tadalafil relaxes muscles of the blood vessels and increases blood flow to particular areas of the body.''Tadalafil under the name of Cialis is used to treat erectile dysfunction (impotence) and symptoms of benign prostatic hypertrophy (enlarged prostate). Another brand of tadalafil is Adcirca, which is used to treat pulmonary arterial hypertension and improve exercise capacity in men and women.''"
Important information Tadalafil,"''Do not take tadalafil if you are also using a nitrate drug for chest pain or heart problems, including nitroglycerin, isosorbide dinitrate, isosorbide mononitrate, and some recreational drugs such as ""poppers"". Taking tadalafil with a nitrate medicine can cause a sudden and serious decrease in blood pressure.''Some medicines can cause unwanted or dangerous effects when used with tadalafil. Tell your doctor about all your current medicines, especially riociguat (Adempas).''Contact your doctor or seek emergency medical attention if your erection is painful or lasts longer than 4 hours. A prolonged erection (priapism) can damage the penis.''Get medical help at once if you have nausea, chest pain, or dizziness during sex.''Stop using tadalafil and get emergency medical help if you have sudden vision loss.''"
Before taking this medicine Tadalafil,"''You should not take tadalafil if you are allergic to it.''Taking tadalafil with certain other medicines can cause a sudden and serious decrease in blood pressure. Do not take this medicine if you also use:''riociguat (to treat pulmonary arterial hypertension); ora nitrate drug (for chest pain or heart problems) such as nitroglycerin, isosorbide dinitrate, isosorbide mononitrate, or recreational drugs such as amyl nitrate or nitrite ""poppers"".''Some tadalafil can remain in your bloodstream for 2 or more days after each dose you take (longer if you have liver or kidney disease). Avoid nitrate use during this time.''To make sure this medicine is safe for you, tell your doctor if you have ever had:''heart disease or heart rhythm problems;a heart attack or stroke;angina (chest pain), high or low blood pressure;pulmonary hypertension (unless you are taking tadalafil for this);a condition called pulmonary veno-occlusive disease (narrowing of the veins that carry blood from the lungs to the heart);liver or kidney disease (or if you are on dialysis);vision loss, or retinitis pigmentosa (an inherited condition of the eye);a bleeding disorder;a blood cell disorder such as sickle cell anemia, multiple myeloma, or leukemia;a physical deformity of the penis (such as Peyronie's disease), or an erection lasting longer than 4 hours;a stomach ulcer; orhealth problems that make sexual activity unsafe.''Sudden vision loss has occurred in a small number of people taking medicines like tadalafil (Viagra or others). Most of these people already had certain eye problems or risk factors for blood vessel disorders (heart disease, diabetes, high blood pressure, high cholesterol, coronary artery disease, smoking, or being over 50 years old). It is not clear whether the medicine was the actual cause of vision loss. Sudden hearing loss has also been reported with tadalafil. Stop tadalafil and call your doctor immediately for any hearing loss, decrease in hearing, or ringing in the ears.''Tadalafil is not expected to harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant.''It is not known whether tadalafil passes into breast milk or if it could affect the nursing baby. Tell your doctor if you are breast-feeding.''Tadalafil is not approved for use by anyone younger than 18 years old.''"
How should I take tadalafil? Tadalafil,"''Tadalafil is usually taken only once per day. Follow all directions on your prescription label. Do not take this medicine in larger or smaller amounts or for longer than recommended.''Tadalafil can be taken with or without food.''Do not break or split a Cialis tablet. Swallow it whole.''For erectile dysfunction, take Cialis just before sexual activity but not more than once per day. It can be used up to 36 hours before sexual activity. Cialis can help achieve an erection when sexual stimulation occurs. An erection will not occur just by taking a pill. Follow your doctor's instructions.''Do not take Cialis for erectile dysfunction if you are taking Adcirca for pulmonary arterial hypertension.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''If tadalafil is used as needed, you are not likely to be on a dosing schedule.''If you take tadalafil every day and you miss a dose, take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.''"
What happens if I overdose? Tadalafil,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''
What should I avoid while taking tadalafil? Tadalafil,"''Drinking alcohol with this medicine can cause a drop in blood pressure, leading to dizziness or fainting.''Grapefruit and grapefruit juice may interact with tadalafil and lead to unwanted side effects. Avoid the use of grapefruit products while taking this medicine.''"
Tadalafil side effects,"''Get emergency medical help if you have signs of an allergic reaction to tadalafil: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.''Stop and get medical help at once if you have nausea, chest pain, or dizziness during sex. You could be having a life-threatening side effect.''Stop using tadalafil and call your doctor at once if you have:''a light-headed feeling, like you might pass out;an erection is painful or lasts longer than 4 hours (prolonged erection can damage the penis);vision changes or sudden vision loss;ringing in your ears or sudden hearing loss; orheart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating.''Common tadalafil side effects may include:''headache;flushing (warmth, redness, or tingly feeling);nausea, upset stomach;stuffy nose; ormuscle pain, back pain, pain in your arms or legs.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect tadalafil? Tadalafil,"''Tell your doctor about all your current medicines and any you start or stop using, especially:''medicines to treat erectile dysfunction or pulmonary arterial hypertension;an antibiotic or antifungal medicine;antiviral medicine to treat hepatitis C or HIV/AIDS;drugs to treat high blood pressure or a prostate disorder; orseizure medicine.''This list is not complete. Other drugs may interact with tadalafil, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide.''''"
What is Tamiflu?,''Tamiflu (oseltamivir) is an antiviral medication that blocks the actions of influenza virus types A and B in your body.''Tamiflu is used to treat flu symptoms caused by influenza virus in people have had symptoms for less than 2 days. This medicine may also be given to prevent influenza in people who may be exposed but do not yet have symptoms. Tamiflu will not treat the common cold.''Tamiflu should not be used in place of getting a yearly flu shot. The Centers for Disease Control recommends an annual flu shot to help protect you each year from new strains of influenza virus.''
Important Information Tamiflu,"''Tamiflu is used to treat flu symptoms caused by influenza virus in patients who have had symptoms for less than 2 days. It may also be given to prevent influenza in people who may be exposed but do not yet have symptoms. This medicine will not treat the common cold.''Before taking Tamiflu, tell your doctor if you have received a nasal flu vaccine within the past 2 weeks, or if you have kidney disease, heart disease, lung disease, or any other serious disease or health problem. Also tell your doctor if you have any condition causing swelling or disorder of the brain.''Take Tamiflu for as many days as it has been prescribed for you even if you begin to feel better. Your symptoms may start to improve before the infection is completely treated.''Some people using oseltamivir have had rare side effects of sudden confusion, delirium, hallucinations, unusual behavior, or self-injury. These symptoms have occurred most often in children. It is not known whether this medicine was the exact cause of these symptoms. However, anyone using this medicine should be watched closely for signs of confusion or unusual behavior. Call a doctor at once if you or the child using this medicine has any of these symptoms.''"
