Questions,Answer
What is valacyclovir? Valacyclovir,"''Valacyclovir is an antiviral drug. It slows the growth and spread of the herpes virus to help the body fight the infection.''Valacyclovir is used to treat infections caused by herpes viruses, including genital herpes, cold sores, and shingles (herpes zoster) in adults.''Valacyclovir is used to treat cold sores in children who are at least 12 years old, or chickenpox in children who are at least 2 years old.''Valacyclovir will not cure herpes and will not prevent you from spreading the virus to other people. However, this medicine can lessen the symptoms of an infection.''"
Important information Valacyclovir,"''Before taking valacyclovir, tell your doctor if you have HIV/AIDS, a weak immune system, kidney disease (or if you are on dialysis), or if you have had a kidney or bone marrow transplant.''Valacyclovir can be harmful to the kidneys, and these effects are increased when it is used together with other medicines that can harm the kidneys. Tell your doctor about all other medications you are using. You may need dose adjustments or special tests when taking certain medications together with valacyclovir.''Treatment with valacyclovir should be started as soon as possible after the first appearance of symptoms (such as tingling, burning, blisters).''Valacyclovir will not prevent the spread of genital herpes. Herpes infections are contagious and you can infect other people even while you are taking this medicine.''Stop taking valacyclovir and call your doctor right away if you have any signs of a serious side effect that can harm red blood cells, such as: fever, easy bruising or bleeding, red spots on the skin (not related to herpes or chickenpox), bloody diarrhea, vomiting, pale or yellowed skin, weakness, fainting, or urinating less than usual or not at all.''"
Before taking this medicine Valacyclovir,"''You should not use this medicine if you are allergic to valacyclovir or acyclovir (Zovirax).''To make sure valacyclovir is safe for you, tell your doctor if you have:''kidney disease (or if you are on dialysis);HIV/AIDS, or other conditions that can weaken the immune system; ora history of kidney transplant or bone marrow transplant.''It is not known whether this medicine will harm an unborn baby. However, herpes virus can be passed from an infected mother to her baby during childbirth. If you have genital herpes, it is very important to prevent herpes lesions during your pregnancy, so that you do not have a genital lesion when your baby is born.''Valacyclovir can pass into breast milk and may harm a nursing baby. Tell your doctor if you are breast-feeding a baby.''Do not give valacyclovir to a child without medical advice.''"
How should I take valacyclovir? Valacyclovir,"''Take valacyclovir exactly as it was prescribed for you. Follow all directions on your prescription label. Do not take this medicine in larger or smaller amounts or for longer than recommended.''Start taking valacyclovir as soon as possible after the first appearance of symptoms (such as tingling, burning, blisters). This medicine might not be as effective if you first start taking it 1 or 2 days after the start of your symptoms.''Some herpes infections need to be treated for longer than others. Use this medicine for the full prescribed length of time. Your symptoms may improve before the infection is completely cleared. Skipping doses may increase the risk of your virus becoming resistant to antiviral medicine.''You may take valacyclovir with or without food.''Tell your doctor if a child taking this medicine cannot swallow the valacyclovir tablet.''Drink plenty of water while you are taking valacyclovir to keep your kidneys working properly.''Lesions caused by herpes viruses should be kept as clean and dry as possible. Wearing loose clothing may help to prevent irritation of the lesions.''Store valacyclovir tablets at room temperature away from moisture and heat.''''What happens if I miss a dose?''Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.''"
What happens if I overdose? Valacyclovir,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''
What should I avoid while taking valacyclovir? Valacyclovir,"''Taking this medicine will not prevent you from passing genital herpes to other people. Herpes infections are contagious and you can infect other people even while you are taking with valacyclovir.''Avoid sexual intercourse or use a latex condom to help keep you from spreading the virus to others. Avoid letting infected areas come into contact with other people. Avoid touching an infected area and then touching your eyes. Wash your hands frequently to prevent the spread of infection.''Do not share valacyclovir with another person, even if they have the same symptoms you have.''"
Valacyclovir side effects,"''Get emergency medical help if you have signs of an allergic reaction to valacyclovir: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''confusion, aggression, or you feel shaky or unsteady;hallucinations (seeing or hearing things that are not real);problems with speech;a seizure (convulsions); orkidney problems--little or no urination, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath.''Stop taking valacyclovir and call your doctor right away if you have any of the following signs of a serious side effect that can harm red blood cells:''fever, pale skin;unusual bleeding (nosebleeds, bleeding gums);red or pink urine, little or no urination;red spots on the skin (not related to herpes or chickenpox);feeling weak or tired;stomach pain, bloody diarrhea, vomiting; orswelling in your face, hands, or feet.''Side effects may be more likely in adults who are 65 or older.''Common valacyclovir side effects may include:''nausea, stomach pain; orheadache.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect valacyclovir? Valacyclovir,"''Valacyclovir can harm your kidneys. This effect is increased when you also use certain other medicines, including: antivirals, chemotherapy, injected antibiotics, medicine for bowel disorders, medicine to prevent organ transplant rejection, injectable osteoporosis medication, and some pain or arthritis medicines (including aspirin, Tylenol, Advil, and Aleve).''Other drugs may interact with valacyclovir, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using.''''"
What is Valium?,"''Valium (diazepam) is a benzodiazepine (ben-zoe-dye-AZE-eh-peens). It is thought that diazepam works by enhancing the activity of certain neurotransmitters in the brain.''Valium is used to treat anxiety disorders, alcohol withdrawal symptoms, or muscle spasms.''Valium is sometimes used with other medications to treat seizures.''"
Important Information Valium,"''You should not use Valium if you are allergic to diazepam or similar medicines (Klonopin, Xanax, and others), or if you have myasthenia gravis, severe liver disease, narrow-angle glaucoma, a severe breathing problem, or sleep apnea.''MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription.''Fatal side effects can occur if you use Valium with opioid medicine, alcohol, or other drugs that cause drowsiness or slow your breathing.''Do not give this medication to a child younger than 6 months old.''"
Before taking this medicine Valium,"''You should not use Valium if you are allergic to diazepam or similar drugs (Klonopin, Xanax, and others), or if you have:''myasthenia gravis (a muscle weakness disorder);severe liver disease;a severe breathing problem;sleep apnea (breathing stops during sleep); oralcoholism, or addiction to drugs similar to diazepam.''To make sure Valium is safe for you, tell your doctor if you have ever had:''glaucoma;asthma, emphysema, bronchitis, chronic obstructive pulmonary disorder (COPD), or other breathing problems;kidney or liver disease;epilepsy or other seizure disorder;a drug or alcohol addiction; ormental illness, depression, or suicidal thoughts or behavior.''When treating seizures, do not start or stop taking Valium during pregnancy without your doctor's advice. Diazepam may cause harm to an unborn baby, but having a seizure during pregnancy could harm both the mother and the baby. Tell your doctor right away if you become pregnant while taking Valium for seizures.''When treating anxiety, alcohol withdrawal, or muscle spasms: If you take this medicine while you are pregnant, your baby could become dependent on the drug. This can cause life-threatening withdrawal symptoms in the baby after it is born. Babies born dependent on habit-forming medicine may need medical treatment for several weeks. Tell your doctor if you are pregnant or plan to become pregnant.''Diazepam can pass into breast milk and may harm a nursing baby. You should not breast-feed while using this medicine.''Valium is not approved for use by anyone younger than 6 months old. Do not give this medicine to a child without a doctor's advice.''"
