Questions,Answer
What is  Wakix?,''Wakix is used to treat excessive daytime sleepiness or cataplexy (sudden loss of muscle strength) in adults with narcolepsy.''Wakix may also be used for purposes not listed in this medication guide.''''
Important Information,''You should not use Wakix if you have severe liver disease.''''
Before taking this medicine,"''You should not use Wakix if you are allergic to it, or if you have:''severe liver disease.''Tell your doctor if you have ever had:''liver disease;kidney disease;a heart rhythm disorder; orlong QT syndrome (in you or a family member).''Ask a doctor before using  Wakix if you are pregnant or breastfeeding.''If you are pregnant, your name may be listed on a pregnancy registry to track the effects of pitolisant on the baby.''Wakix can make hormonal birth control less effective, including birth control pills, injections, implants, skin patches, and vaginal rings. To prevent pregnancy while using this medicine, use a barrier form of birth control: condom, diaphragm, cervical cap, or contraceptive sponge. Keep using birth control for at least 21 days after your last dose of pitolisant.''Wakix is not approved for use by anyone younger than 18 years old.''''"
How should I take  Wakix?,''Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.''Wakix is usually taken once daily when you wake up.''It may take up to 8 weeks before your symptoms improve. Keep using the medication as directed and tell your doctor if your symptoms do not improve.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Skip the missed dose and use your next dose the following morning at the regular time. Do not use two doses at one time.''''
What happens if I overdose?,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
What should I avoid while taking  Wakix?,"''Follow your doctor's instructions about any restrictions on food, beverages, or activity.''''"
 Wakix side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''fast or pounding heartbeats;, fluttering in your chest;shortness of breath; orsudden dizziness (like you might pass out).''Common side effects may include:''nausea;anxiety; orsleep problems (insomnia).''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is  Wal-itin?,"''Wal-itin is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.''Wal-itin is used to treat sneezing, runny nose, watery eyes, hives, skin rash, itching, and other cold or allergy symptoms.''Wal-itin is also used to treat skin hives and itching in people with chronic skin reactions.''Wal-itin may also be used for purposes not listed in this medication guide.''''"
Important Information,"''Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.''''"
Before taking this medicine,"''You should not take  Wal-itin if you are allergic to Wal-itin or to desthis medicine (Clarinex).''Ask a doctor or pharmacist if it is safe for you to use this medicine if you have other medical conditions, especially:''asthma;kidney disease; orliver disease.''This medicine is not expected to harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant.''Loratadine can pass into breast milk and may harm a nursing baby. Tell your doctor if you are breast-feeding a baby.''Some forms of loratadine may contain phenylalanine. Talk to your doctor before taking Wal-itin if you have phenylketonuria (PKU).''Do not give this medicine to a child younger than 6 years old without the advice of a doctor.''''"
