Questions,Answer
What is Xadago?,"''Xadago (safinamide) is monoamine oxidase inhibitor type B (MAO-B). This medicine works by allowing a chemical called dopamine (DOE pa meen) to work for longer periods of time in the brain. Low levels of dopamine in the brain are associated with Parkinson's disease.''Xadago is given with levodopa and carbidopa to treat ""wearing-off"" episodes (muscle stiffness, loss of muscle control) in people with Parkinson's disease.''"
Important information Xadago,''You should not use Xadago if you have severe liver disease.''TELL YOUR DOCTOR ABOUT ALL OTHER MEDICINES YOU USE. Some medicines can cause unwanted or dangerous effects (including death) when used within 14 days of when you take Xadago.''
Before taking this medicine Xadago,"''You should not use Xadago if you are allergic to safinamide, or if you have:''severe liver disease.''Some medicines can cause unwanted or dangerous effects (including death) when used with Xadago. You should not use any of the following medicines within 14 days before or 14 days after you take Xadago:''amphetamines (Adderall, Dexedrine, and others);cough medicine that contains dextromethorphan;cyclobenzaprine;methylphenidate (Concerta, Ritalin, Daytrana, and others);St. John's wort;another MAO inhibitor - isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others;certain antidepressants such as amitriptyline (Elavil), desipramine (Norpramin), desvenlafaxine (Pristiq), duloxetine (Cymbalta), levomilnacipran (Fetzima), maprotiline (Ludiomil) , milnacipran (Savella), trimipramine (Surmontil), venlafaxine (Effexor), vilazodone (Viibryd), and many others; oropioid (narcotic) medicine such as meperidine (Demerol), methadone, propoxyphene (Darvon), tramadol (Ultram, Ultracet), and others.''To make sure Xadago is safe for you, tell your doctor if you have ever had:''liver disease;high or low blood pressure;bipolar disorder, schizophrenia, or psychosis;unusual urges or impulses;abnormal muscle movements;problems with retina of your eye; ornarcolepsy or other sleep disorder (or if you take medicine to help you sleep).''It is not known whether Xadago will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant.''It is not known whether safinamide passes into breast milk or if it could harm a nursing baby. You should not breast-feed while using this medicine.''"
How should I take Xadago?,''Take Xadago exactly as prescribed by your doctor. Follow all directions on your prescription label. Your doctor may occasionally change your dose. Do not use this medicine in larger or smaller amounts or for longer than recommended.''Safinamide must be given in combination with levodopa and carbidopa and it should not be used alone.''Xadago is usually taken once per day at the same time each day.''You may take this medicine with or without food.''Your blood pressure will need to be checked often.''Store at room temperature away from moisture and heat.''
Xadago dosing information,"''Usual Adult Dose for Parkinson's Disease:''Initial dose: 50 mg orally once a dayMaintenance dose: After 2 weeks, may increase dose to 100 mg orally once a day based on individual need and tolerabilityMaximum dose: 100 mg per dayComment:-Higher doses have not been shown to provide additional benefit while they do increase the risk for adverse reactions.-This drug has only been shown effective in combination with levodopa/carbidopa.Use: As adjunctive treatment to levodopa/carbidopa in patients with PD experiencing ""off"" episodes.''''What happens if I miss a dose?''Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.''"
What happens if I overdose? Xadago,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''
What should I avoid while taking Xadago?,"''While taking Xadago and for 14 days after you stop, avoid eating foods that are high in tyramine, including: pickled food (such as eggs or herring), and meats that are aged, cured, smoked, or fermented.''Eating tyramine while you are taking safinamide can raise your blood pressure to dangerous levels which could cause life-threatening side effects. You should become very familiar with the list of foods to avoid while you are taking Xadago.''Some people taking this medicine have fallen asleep during normal daytime activities such as working, driving, or other physical activity. Avoid driving or operating machinery until you know how this medicine will affect you.''"
Xadago side effects,"''Get emergency medical help if you have signs of an allergic reaction to Xadago: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''vision changes;twitching or uncontrolled muscle movements;confusion, agitation, unusual thoughts or behavior;hallucinations (seeing or hearing things that are not real);a seizure;fever, sweating, fast heart rate, overactive reflexes;nausea, vomiting, diarrhea; orincreased blood pressure - severe headache, blurred vision, pounding in your neck or ears, anxiety, nosebleed.''You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs.''Common Xadago side effects may include:''involuntary muscle movements;falls;nausea; orsleep problems (insomnia).''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect Xadago?,"''Tell your doctor about all your current medicines and any you start or stop using, especially:''imatinib;irinotecan;lapatinib;methotrexatemetoclopramide;mitoxantrone;rosuvastatin;sulfasalazine; ortopotecan.''This list is not complete. Other drugs may interact with safinamide, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide.''''"
What is Xalatan?,''Xalatan (latanoprost) is classified as an ophthalmic glaucoma agent and lowers pressure inside the eye by increasing the amount of fluid that drains from the eye.''Xalatan eye drops are used to treat certain types of glaucoma and other causes of high pressure inside the eye.''Xalatan may also be used for purposes not listed in this medication guide.''
Important information Xalatan,"''Do not use Xalatan while wearing contact lenses. This medication may contain a preservative that can discolor soft contact lenses. Wait at least 15 minutes after using Xalatan before putting your contact lenses in.''Xalatan may cause a gradual change in the color of your eyes or eyelids and lashes, as well as increased growth or thickness of your eyelashes. These color changes, usually an increase in brown pigment, occur slowly and you may not notice them for months or years. Color changes may be permanent even after your treatment ends, and may occur only in the eye being treated. This could result in a cosmetic difference in eye or eyelash color from one eye to the other.''Do not allow the tip of the dropper to touch any surface, including your eyes or hands. If the dropper becomes contaminated it could cause an infection in your eye, which can lead to vision loss or serious damage to the eye.''After using Xalatan, wait at least 5 minutes before using any other eye drops that your doctor has prescribed.''"
Xalatan side effects,"''Get emergency medical help if you have signs of an allergic reaction to Xalatan: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Stop using Xalatan and call your doctor at once if you have:''eye swelling, redness, severe discomfort, crusting or drainage (may be signs of infection);red, swollen, or itchy eyelids;increased sensitivity to light;vision changes; orsevere burning, stinging, or irritation after using this medicine.''Common Xalatan side effects may include:''watery eyes;itchy eyes;puffy eyelids;stinging, burning, or redness of the eyes;blurred vision;feeling like something is in your eye;your eyes may be more sensitive to light;darkened eye color; oreyelash thickening.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
Before taking this medicine Xalatan,"''You should not use Xalatan if you are allergic to latanoprost or benzalkonium chloride.''To make sure Xalatan is safe for you, tell your doctor if you have ever had:''swelling or an infection in your eye;herpes infection of the eyes;retinal detachment; oreye surgery or injury affecting the lens of your eye.''Xalatan may cause a gradual change in the color of your eyes or eyelids and lashes, usually an increase in brown pigment. You may also notice increased growth or thickness of your eyelashes. These changes occur slowly and you may not notice them for months or years. Color changes may be permanent even after your treatment ends, and may occur only in the eye being treated. This could result in a cosmetic difference in eye or eyelash color from one eye to the other.''It is not known whether Xalatan eye drops will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant.''Tell your doctor if you are breastfeeding.''Xalatan is not approved for use by anyone younger than 18 years old.''How should I use Xalatan?''The usual dose of Xalatan is 1 drop into the affected eye every evening. Follow your doctor's dosing instructions very carefully.''Follow all directions on your prescription label. Do not use Xalatan in larger or smaller amounts or for longer than recommended.''Do not use Xalatan while wearing soft contact lenses. A preservative in this medicine could permanently stain the lenses. Use the medicine at least 15 minutes before inserting your contact lenses.''Wash your hands before using the eye drops.''To apply the Xalatan eye drops:''Tilt your head back slightly and pull down your lower eyelid to create a small pocket. Hold the dropper above the eye with the tip down. Look up and away from the dropper and squeeze out a drop.Close your eyes for 2 or 3 minutes with your head tipped down, without blinking or squinting. Gently press your finger to the inside corner of the eye for about 1 minute, to keep the liquid from draining into your tear duct.Wait at least 5 minutes before using any other eye drops your doctor has prescribed.''Do not touch the tip of the eye dropper or place it directly on your eye. A contaminated dropper can infect your eye, which could lead to serious vision problems.''Do not use the eye drops if the liquid has changed colors or has particles in it. Call your pharmacist for new medicine.''Tell your doctor right away if you have an eye injury or eye infection, or if you plan to have eye surgery.''Store an unopened bottle of Xalatan eye drops in a refrigerator. Do not freeze.''After your first use, store the eye drops at room temperature away from moisture, heat, and light. Keep the bottle tightly closed when not in use. Throw away the medicine after 6 weeks have passed since you first opened the bottle.''"
