Questions,Answer
What is  Y-90 Zevalin?,"''Y-90 Zevalin is a protein that targets white blood cells in the body. When this medicine is attached to a radioactive chemical, the radiation is delivered directly to the tumor (lymphoma).''Y-90 Zevalin is used in combination with other medicines to treat non-Hodgkin's lymphoma.''Y-90 Zevalin may also be used for purposes not listed in this medication guide.''''"
Important Information,"''Life-threatening reactions may occur during the injection or within 24 hours afterward. Tell your caregivers or seek medical attention if you feel light-headed or short of breath, or if you have chest tightness or pain spreading to your jaw or shoulder.''Serious and sometimes fatal infections or skin reactions may occur during treatment with Y-90 Zevalin, and up to 4 months afterward. Call your doctor right away if you have: fever, chills, mouth sores, pale skin, cold hands and feet, feeling light-headed or short of breath, easy bruising or bleeding, or skin changes where the medicine was injected.''''"
Before taking this medicine,"''You should not be treated with  Y-90 Zevalin if you are allergic to Y-90 Zevalin, or to radioactive chemicals or mouse proteins.''Tell your doctor if you have ever had:''any type of infection;bleeding or blood clotting problems;breathing problems; orif you take a blood thinner (warfarin, Coumadin) or other medicine to prevent blood clots.''Using Y-90 Zevalin may increase your risk of developing other types of cancer, such as leukemia or preleukemia. Ask your doctor about your specific risk.''You may need to have a negative pregnancy test before starting this treatment.''Both men and women using this medicine should use effective birth control to prevent pregnancy. Y-90 Zevalin can harm an unborn baby or cause birth defects if the mother or father is using this medicine. Keep using birth control for at least 12 months after your last dose.''Tell your doctor right away if a pregnancy occurs while either the mother or the father is using Y-90 Zevalin.''Do not breastfeed while using this medicine, and for at least 6 months after your last dose.''''How is  Y-90 Zevalin given?''Y-90 Zevalin is used in combination with rituximab (Rituxan) and a radioactive chemical. This medicine is given as an infusion into a vein. A healthcare provider will give you this injection.''Tell your caregivers if you feel any burning, pain, or swelling around the IV needle when Y-90 Zevalin is injected.''You may be given medicine to prevent certain side effects while you are receiving Y-90 Zevalin. Take all of the medicines your doctor has prescribed.''Y-90 Zevalin can increase your risk of bleeding or infection. You will need frequent medical tests.''''What happens if I miss a dose?''Call your doctor for instructions if you miss an appointment for your  Y-90 Zevalin.''''"
What happens if I overdose?,''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''''
What should I avoid while receiving  Y-90 Zevalin?,"''Avoid being near people who are sick or have infections. Tell your doctor at once if you develop signs of infection.''Do not receive a ""live"" vaccine while using Y-90 Zevalin, and for at least 12 months after your treatment ends. The vaccine may not work as well during this time, and may not fully protect you from disease. Live vaccines include measles, mumps, rubella (MMR), polio, rotavirus, typhoid, yellow fever, varicella (chickenpox), zoster (shingles), and nasal flu (influenza) vaccine.''''"
 Y-90 Zevalin side effects,"''Get emergency medical help if you have signs of an allergic reaction (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling).''Life-threatening reactions may occur during the injection or within 24 hours afterward. Tell your caregivers or seek medical attention if you feel light-headed or short of breath, or if you have chest tightness or pain spreading to your jaw or shoulder.''Serious and sometimes fatal infections or skin reactions may occur during treatment with Y-90 Zevalin, and up to 4 months afterward. Call your doctor right away if you have:''redness, ulcers, or skin changes where the medicine was injected;easy bruising, unusual bleeding, purple or red spots under your skin;unusual weakness or tiredness;low red blood cells (anemia)--pale skin, weakness, cold hands and feet; orlow white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing.''Common side effects may include:''nausea, stomach pain, diarrhea;fever, cough;stuffy nose, sore throat, sinus pain; orfeeling weak or tired.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is Yasmin?,"''Yasmin (drospirenone and ethinyl estradiol) is a combination birth control pill containing female hormones that prevent ovulation (the release of an egg from an ovary).''Yasmin also causes changes in your cervical mucus and uterine lining, making it harder for sperm to reach the uterus and harder for a fertilized egg to attach to the uterus.''Yasmin is used as contraception to prevent pregnancy.''"
Important information Yasmin,"''Do not Yasmin use if you are pregnant or if you recently had a baby.''You should not take Yasmin if you have: an adrenal gland disorder, kidney disease, uncontrolled high blood pressure, heart disease, coronary artery disease, circulation problems (especially with diabetes), undiagnosed vaginal bleeding, liver disease or liver cancer, severe migraine headaches, if you also take certain hepatitis C medication, if you will have major surgery, if you smoke and are over 35, or if you have ever had a heart attack, a stroke, a blood clot, jaundice caused by pregnancy or birth control pills, or cancer of the breast, uterus/cervix, or vagina.''Taking Yasmin can increase your risk of blood clots, stroke, or heart attack.''Smoking can greatly increase your risk of blood clots, stroke, or heart attack. You should not take Yasmin if you smoke and are over 35 years old.''"
Yasmin side effects,"''Get emergency medical help if you have signs of an allergic reaction to Yasmin: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Stop using Yasmin and call your doctor at once if you have:''signs of a stroke - sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance;signs of a blood clot - sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood, pain or warmth and swelling in one or both legs;heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating;liver problems - loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);increased blood pressure - severe headache, blurred vision, pounding in your neck or ears;swelling in your hands, ankles, or feet;a change in the pattern or severity of migraine headaches; orsymptoms of depression - sleep problems, weakness, tired feeling, mood changes.''Common Yasmin side effects may include:''nausea, vomiting;breast tenderness;headache, mood changes, feeling tired or irritable;weight gain; orchanges in your menstrual periods, decreased sex drive.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
Before taking this medicine Yasmin,"''Taking Yasmin can increase your risk of blood clots, stroke, or heart attack. You are even more at risk if you have high blood pressure, diabetes, high cholesterol, or if you are overweight. Your risk of stroke or blood clot is highest during your first year of taking birth control pills. Your risk is also high when you restart birth control pills after not taking them for 4 weeks or longer.''Smoking can greatly increase your risk of blood clots, stroke, or heart attack. Your risk increases the older you are and the more you smoke. You should not take Yasmin if you smoke and are over 35 years old.''Do not use if you are pregnant. Stop using Yasmin and tell your doctor right away if you become pregnant, or if you miss 2 menstrual periods in a row. If you have recently had a baby, wait at least 4 weeks before taking this medicine.''You should not take Yasmin if you have:''an adrenal gland disorder;kidney disease;untreated or uncontrolled high blood pressure;heart disease (coronary artery disease, history of heart attack, stroke, or blood clot);an increased risk of having blood clots due to a heart problem or a hereditary blood disorder;circulation problems (especially if caused by diabetes);a history of hormone-related cancer, or cancer of the breast, uterus/cervix, or vagina;unusual vaginal bleeding that has not been checked by a doctor;liver disease or liver cancer;severe migraine headaches (with aura, numbness, weakness, or vision changes), especially if you are older than 35;a history of jaundice caused by pregnancy or birth control pills;if you smoke and are over 35 years old; orif you take any hepatitis C medication containing ombitasvir/paritaprevir/ritonavir (Technivie).''To make sure Yasmin is safe for you, tell your doctor if you have ever had:''heart problems, high blood pressure, or if you are prone to having blood clots;high levels of potassium in your blood;high cholesterol or triglycerides, or if you are overweight;depression;liver or kidney disease;underactive thyroid, diabetes, gallbladder disease; ora migraine headache.''The hormones in Yasmin can pass into breast milk and may harm a nursing baby. This medicine may also slow breast milk production. Do not use if you are breast feeding.''"
