Questions,Answer
What is  Zaditor?,"''Ketotifen is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.''Zaditor (for use in the eyes) is used to treat itching of the eyes caused by allergy to dust, pollen, animals, or other allergens.''Zaditor may also be used for purposes not listed in this medication guide.''''"
Important Information Zaditor,"''Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.''''"
Before taking this medicine Zaditor,"''You should not use Zaditor if you are allergic to it, or if you have:''an untreated eye infection; oreye irritation caused by wearing contact lenses.''Zaditor is not approved for use by anyone younger than 3 years old.''''How should I use  Zaditor?''Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.''Do not use  Zaditor while wearing contact lenses. Zaditor may contain a preservative that can discolor soft contact lenses. Wait at least 10 minutes after using this medicine before putting in your contact lenses.''Wash your hands before using the eye drops.''To apply the eye drops:''Tilt your head back slightly and pull down your lower eyelid to create a small pocket. Hold the dropper above the eye with the tip down. Look up and away from the dropper and squeeze out a drop.Close your eyes for 2 or 3 minutes with your head tipped down, without blinking or squinting. Gently press your finger to the inside corner of the eye for about 1 minute, to keep the liquid from draining into your tear duct.Use only the number of drops your doctor has prescribed. If you use more than one drop, wait about 5 minutes between drops.Wait at least 10 minutes before using any other eye drops your doctor has prescribed.''Do not touch the tip of the eye dropper or place it directly on your eye. A contaminated dropper can infect your eye, which could lead to serious vision problems.''Do not use the eye drops if the liquid has changed colors or has particles in it. Call your pharmacist for new medicine.''Call your doctor if your eye itching does not improve, or if it lasts longer than 72 hours.''Store at room temperature away from moisture and heat. Do not freeze. Keep the bottle tightly closed when not in use.''''What happens if I miss a dose?''Use the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra medicine to make up the missed dose.''''"
What happens if I overdose? Zaditor,''An overdose of  Zaditor is not expected to be dangerous. Seek emergency medical attention or call the Poison Help line at 1-800-222-1222 if anyone has accidentally swallowed the medication.''''
What should I avoid while using ketotifen ophthalmic? Zaditor,''Do not use other eye medications unless your doctor tells you to.''''
 Zaditor side effects,"''Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Stop using Zaditor and call your doctor at once if you have:''redness, drainage, eyelid swelling, or other signs of infection;eye pain;vision changes; orsevere itching of the eyes worse than before using the medication.''Common side effects may include:''mild burning, stinging, or eye irritation;dryness of the eyes; orincreased sensitivity to light.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What is zaleplon? Zaleplon,''Zaleplon is a sedative that is used to treat insomnia.  zaleplon causes relaxation to help you fall asleep and stay asleep.''Zaleplon may also be used for purposes not listed in this medication guide.''''
Important Information Zaleplon,"''Some people using this medicine have engaged in activity while not fully awake and later had no memory of it. If this happens to you, stop taking zaleplon and call your doctor right away.''Serious injury or death could occur if you walk or drive while you are not fully awake.''''"
Before taking this medicine Zaleplon,"''You should not use zaleplon if you are allergic to it, or if you have ever taken sleep medicine and engaged in activity you later don't remember.''Zaleplon is not approved for use by anyone younger than 18 years old.''Tell your doctor if you have ever had:''liver or kidney disease;a breathing disorder;depression, mental illness, or suicidal thoughts; ordrug or alcohol addiction.''You should not take zaleplon if you are pregnant.''You should not breastfeed while using zaleplon.''The sedative effects of zaleplon may be stronger in older adults. Accidental falls are common in elderly patients who take sedatives. Use caution to avoid falling or accidental injury while you are taking zaleplon.''''"
How should I take zaleplon? Zaleplon,"''Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.''Zaleplon may be habit-forming. Misuse can cause addiction, overdose, or death. Keep the medication in a place where others cannot get to it. Selling or giving away  zaleplon is against the law.''Zaleplon will make you fall asleep. Never take this medication during your normal waking hours, unless you have several hours to dedicate to sleeping.''Zaleplon is for short-term use only. Do not take zaleplon for longer than 5 weeks without your doctor's advice.''Call your doctor if your symptoms do not improve after 7 to 10 days of treatment, or if they get worse.''Do not stop using zaleplon suddenly after taking it over several days in a row, or you could have unpleasant withdrawal symptoms. Ask your doctor how to safely stop using this medicine.''Store at room temperature away from moisture, heat, and light. Keep track of your medicine. You should be aware if anyone is using it improperly or without a prescription.''Insomnia symptoms may also return after you stop taking zaleplon, and may be even worse than before. Tell your doctor if you still have worsened insomnia after the first few nights without taking zaleplon.''''What happens if I miss a dose?''Since zaleplon is taken only at bedtime, you will not be on a frequent dosing schedule. Never take this medication if you do not have several hours to sleep before being active again.''Do not take two doses at one time.''''"
What happens if I overdose? Zaleplon,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of zaleplon can be fatal, especially when it is taken together with other medications that can cause drowsiness.''Overdose symptoms may include severe drowsiness, confusion, loss of coordination, severe muscle weakness, weak or shallow breathing, fainting.''''"
What should I avoid while taking zaleplon? Zaleplon,"''Avoid taking zaleplon during travel, such as to sleep on an airplane. You may be awakened before the effects of the medication have worn off. Amnesia (forgetfulness) is more common if you do not get the equivalent of a full night's sleep after taking zaleplon.''Do not drink alcohol. Dangerous side effects or death could occur.''Avoid taking zaleplon with food or right after eating a high-fat or heavy meal. This will make it harder for your body to absorb the medicine.''Zaleplon can cause side effects that may impair your thinking or reactions. You may still feel sleepy the morning after taking the medication. Until you know how  zaleplon will affect you during waking hours, be careful if you drive, operate machinery, pilot an airplane, or do anything that requires you to be awake and alert.''''"
Zaleplon side effects,"''Zaleplon may cause a severe allergic reaction. Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; nausea and vomiting; swelling of your face, lips, tongue, or throat.''Some people using this medicine have engaged in activity while not fully awake and later had no memory of it. This may include walking, driving, or making phone calls. If this happens to you, stop taking zaleplon and call your doctor right away.''Serious injury or death could occur if you walk or drive while you are not fully awake.''Call your doctor at once if you have:''anxiety, depression, aggression, agitation;memory problems, unusual thoughts or behavior;thoughts of hurting yourself; orconfusion, hallucinations (hearing or seeing things).''Common side effects may include:''day-time drowsiness, dizziness, ""hangover"" feeling;feeling light-headed;problems with coordination; ornumbness, tingling, or prickly feeling on your skin.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
Zaleplon dosing information,"''Usual Adult Dose for Insomnia:10 mg orally once a day, immediately before bedtime OR after the patient has gone to bed and is having trouble falling asleep-Maximum dose: 20 mg/dayComments:-Doses should be individualized.-Efficacy was established in trials ranging from a single night to 5 weeks.Use: Short-term treatment of insomniaUsual Geriatric Dose for Insomnia:5 mg orally once a day, immediately before bedtime OR after the patient has gone to bed and is having trouble falling asleep-Maximum dose: 10 mg/dayComments:-Doses should be individualized.-Efficacy was established in trials ranging from a single night to 5 weeks.Use: Short-term treatment of insomnia''"
What other drugs will affect zaleplon? Zaleplon,"''Using zaleplon with other drugs that make you drowsy or slow your breathing can cause dangerous side effects or death. Ask your doctor before using opioid medication, other sleep medicine, a muscle relaxer, or medicine for anxiety or seizures.''Other drugs may affect zaleplon, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using.''''"
What is Zanaflex?,''Zanaflex (tizanidine) is a short-acting muscle relaxer. It works by blocking nerve impulses (pain sensations) that are sent to your brain.''Zanaflex is used to treat spasticity associated with diseases like multiple sclerosis and spinal cord injuries by temporarily relaxing muscle tone.''Zanaflex may also be used for purposes not listed in this medication guide.''
Important information Zanaflex,"''Zanaflex is a short-acting medication that should be taken only for daily activities that require relief from muscle spasticity.''You should not take tizanidine if you are also taking fluvoxamine (Luvox) or ciprofloxacin (Cipro).''Do not use Zanaflex at a time when you need muscle tone for safe balance and movement during certain activities. In some situations, it may endanger your physical safety to be in a state of reduced muscle tone.''Switching between Zanaflex tablets and capsules, or changing the way you take it with regard to eating, can cause an increase in side effects or a decrease in therapeutic effect. Follow your doctor's instructions carefully. After making any changes in how you take Zanaflex, contact your doctor if you notice any change in how well the medicine works or if it causes increased side effects.''Do not take more than three doses (36 mg) of tizanidine in a 24-hour period. Too much of tizanidine can damage your liver. Cold or allergy medicine, narcotic pain medicine, sleeping pills, other muscle relaxers, and medicine for seizures, depression or anxiety can add to sleepiness caused by tizanidine. Tell your doctor if you need to use any of these other medicines together with Zanaflex.''Avoid drinking alcohol. It can increase some of the side effects of tizanidine.''"
Before taking this medicine Zanaflex,"''You should not use Zanaflex if you are allergic to tizanidine, or if:''you also take the antidepressant fluvoxamine (Luvox); oryou also take the antibiotic ciprofloxacin (Cipro).''To make sure Zanaflex is safe for you, tell your doctor if you have:''liver disease;kidney disease; orlow blood pressure; orhigh blood pressure.''It is not known whether Zanaflex will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant.''It is not known whether tizanidine passes into breast milk or if it could harm a nursing baby. Tell your doctor if you are breast-feeding a baby.''"
How should I take Zanaflex?,"''Take Zanaflex exactly as it was prescribed for you. Follow all directions on your prescription label. Your doctor may occasionally change your dose to make sure you get the best results. Do not use this medicine in larger or smaller amounts or for longer than recommended.''In most cases you may take Zanaflex up to 3 times in one day if needed. Allow 6 to 8 hours to pass between doses.''You may take Zanaflex with or without food, but take it the same way each time. Switching between taking tizanidine with food and taking it without food can make the medicine less effective or cause increased side effects.''Switching between Zanaflex tablets and capsules can also cause changes in side effects or how well the medicine works.''Follow your doctor's instructions carefully. After making any changes in how you take Zanaflex, contact your doctor if you notice any change in side effects or in how well the medicine works.''Zanaflex is a short-acting medication, and its effects will be most noticeable between 1 and 3 hours after you take it. You should take this medicine only for daily activities that require relief from muscle spasms.''Do not take more than three doses (36 mg) in a 24-hour period. Too much of this medicine can damage your liver.''You will need frequent blood tests to check your liver function.''If you stop using Zanaflex suddenly after long-term use, you may have withdrawal symptoms such as dizziness, fast heartbeats, tremors, and anxiety. Ask your doctor how to safely stop using this medicine.''Store at room temperature away from moisture and heat.''''What happens if I miss a dose?''Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.''"
What happens if I overdose? Zanaflex,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''Overdose symptoms may include weakness, drowsiness, confusion, slow heart rate, shallow breathing, feeling light-headed, or fainting.''"
What should I avoid while taking Zanaflex?,"''Do not use Zanaflex at a time when you need muscle tone for safe balance and movement during certain activities. In some situations, it may be dangerous for you to have reduced muscle tone.''Drinking alcohol with this medicine can cause side effects.''This medicine may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert. Avoid getting up too fast from a sitting or lying position, or you may feel dizzy. Get up slowly and steady yourself to prevent a fall.''"
Zanaflex side effects,"''Get emergency medical help if you have signs of an allergic reaction to Zanaflex: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Call your doctor at once if you have:''a light-headed feeling, like you might pass out;weak or shallow breathing;confusion, hallucinations; oryellowing of the eyes or skin.pain or burning when you urinate.''Common Zanaflex side effects may include:''drowsiness, dizziness, weakness;dry mouth;feeling nervous;blurred vision;flu-like symptoms;abnormal liver function tests;runny nose, sore throat;urination problems;vomiting, constipation; oruncontrolled muscle movements.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
Zanaflex dosing information,''Usual Adult Dose for Muscle Spasm:''-Initial dose: 2 mg orally every 6 to 8 hours as needed-The dose of Zanaflex can be increased by your doctor if needed-The medication effects peak in about 1 to 2 hours and last for 3 to 6 hours-Do not take more than 16mg of Zanaflex at one time. Do not take more than 36mg in 24 hours.''Comments:-The capsules and tablets are absorbed differently by the body. Do not switch from one to the other without talking to your doctor.-Zanaflex should be taken with food every time or without food every time. Do not switch back and forth.''
What is Zantac?,"''Zantac (ranitidine) belongs to a group of drugs called histamine-2 blockers. It works by reducing the amount of acid your stomach produces.''Zantac has been used to treat and prevent ulcers in the stomach and intestines. It also was used to treat conditions in which the stomach produces too much acid, such as Zollinger-Ellison syndrome..''Zantac was also used to treat gastroesophageal reflux disease (GERD) and other conditions in which acid backs up from the stomach into the esophagus, causing heartburn.''A cancer-causing impurity found in many ranitidine medications may increase to unacceptable levels over time and when ranitidine is stored at high temperatures. As a result, the FDA has asked all makers of ranitidine to withdraw this medicine from the market in the United States.''"
Important Information Zantac,"''Zantac has been withdrawn from the market in the United States. Some of the contents of this leaflet are preserved for historical purposes only.''Using Zantac may increase your risk of developing pneumonia. Symptoms of pneumonia include chest pain, fever, feeling short of breath, and coughing up green or yellow mucus. Talk with your doctor about your specific risk of developing pneumonia.''Do not use Zantac if you are allergic to ranitidine.''Ask a doctor or pharmacist if it is safe for you to take this medicine if you have kidney disease, liver disease, or porphyria.''Heartburn is often confused with the first symptoms of a heart attack. Seek emergency medical attention if you have chest pain or heavy feeling, pain spreading to the arm or shoulder, nausea, sweating, and a general ill feeling.''"
Before taking this medicine Zantac,"''If you have been taking prescription-strength Zantac: Before you stop taking the medicine, ask your doctor about safer treatment options.''If you have been taking over-the-counter (OTC) Zantac: Stop taking the medicine, and ask your doctor or pharmacist about other approved OTC stomach acid reducers.''Heartburn can mimic early symptoms of a heart attack. Get emergency medical help if you have chest pain that spreads to your jaw or shoulder and you feel anxious or light-headed.''Before using any OTC medicine to reduce stomach acid, ask a doctor or pharmacist if the medicine is safe for you if you have other medical conditions or allergies.''Ask a doctor before using any OTC stomach acid medicine if you are pregnant or breastfeeding.''"
How should I take Zantac?,"''Because Zantac has been withdrawn from the market in the U.S., some of the contents of this leaflet are intended for historical purposes only.''Take Zantac exactly as directed on the label, or as prescribed by your doctor.''Measure liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).''It may take up to 8 weeks before your ulcer heals. Keep using your medications as directed and call your doctor if your symptoms do not improve after 6 weeks.''Your doctor may recommend an antacid to help relieve pain. Carefully follow your doctor's directions about the type of antacid to use, and when to use it.''Store at room temperature away from moisture, heat, and light.''''What happens if I miss a dose?''Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.''"
What happens if I overdose? Zantac,"''Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.''Overdose symptoms may include lack of coordination, feeling light-headed, or fainting.''"
What should I avoid while taking Zantac?,''You should not stop taking prescription-strength Zantac until you ask your doctor to prescribe a different medication. Talk with doctor as soon as possible about how best to treat your condition.''Avoid drinking alcohol. It can increase the risk of damage to your stomach.''
Zantac side effects,"''Get emergency medical help if you have signs of an allergic reaction to Zantac: hives; difficult breathing; swelling of your face, lips, tongue, or throat.''Stop using Zantac and call your doctor at once if you have:''stomach pain, loss of appetite;dark urine, jaundice (yellowing of the skin or eyes);fever, chills, cough with mucus, chest pain, feeling short of breath;fast or slow heart rate;easy bruising or bleeding; orproblems with your skin or hair.''Common Zantac side effects may include:''nausea, vomiting, stomach pain; ordiarrhea, constipation.''This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.''''"
What other drugs will affect Zantac?,"''Many drugs can interact with ranitidine. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using.''''"
What is  Zaroxolyn?,"''Zaroxolyn is a thiazide diuretic (water pill) that helps prevent your body from absorbing too much salt, which can cause fluid retention.''Zaroxolyn is used to treat fluid retention (edema) in people with congestive heart failure, or a kidney disorder such as nephrotic syndrome. This medicine is also used to treat high blood pressure (hypertension).''Zaroxolyn may also be used for purposes not listed in this medication guide.''''"
Important Information Zaroxolyn,"''You should not use Zaroxolyn if you are unable to urinate, or if you have severe liver disease.''''"
